# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,123232.40348640726,56532.693228421864,66704.2777095021,5048655.582805527,2315944.827424407,2732710.7553811204,4592003264.0,12596422.0
image_radar_encoder.radar_encoder,122023.68296435401,54152.36098804249,67900.20933464458,848044.1211507742,376186.86040973663,471857.2607410375,194249600.0,68019.0
image_radar_encoder.channel_attn_stage3.0,90010.44831626501,22349.001724758076,68059.3381030683,11343.84226321642,2785.0677775144577,8558.774485701962,102656.0,3.0
image_radar_encoder.channel_attn_stage3.1,88618.77642228128,21498.567177546265,68067.8301304917,11230.548811131232,2709.914796948433,8520.634014182799,25664.0,3.0
image_radar_encoder.channel_attn_stage4.0,88725.12811278699,21262.0386334145,68076.14283213143,11844.136483996948,2816.650941848755,9027.485542148193,58464.0,5.0
image_radar_encoder.channel_attn_stage4.1,88164.74814006498,20893.22575493481,68084.34542929793,11710.725899647,2763.5589752197266,8947.166924427273,14544.0,3.0
image_radar_encoder.channel_attn_stage5.0,88213.14114871832,20899.492812375513,68092.55852630806,11806.517322901453,2764.3380942344666,9042.179228666986,30528.0,5.0
image_radar_encoder.channel_attn_stage5.1,87759.92558265384,20664.74829755389,68100.74490347892,11705.015728395334,2676.216116666794,9028.79961172854,7488.0,3.0
det_head.cls_convs.0,126566.43077914514,58578.253948718055,68156.00797732727,172948.09645303388,79898.1315214634,93049.96493157049,233472000.0,144896.0
det_head.cls_convs.1,126197.83088264054,58667.08600493316,68202.95520837599,47788.65360944959,22098.865792274475,25689.787817175114,58368000.0,144896.0
det_head.cls_convs.2,101856.27142136716,34374.59570964146,68224.54886856063,31061.069853380664,10358.567149996758,20702.502703383907,14592000.0,144896.0
det_head.reg_convs.0,126683.37250228322,58502.24951510754,68286.76236143833,173140.93557610415,79916.88665604591,93224.04892005822,233472000.0,144896.0
det_head.reg_convs.1,126641.64251244582,58623.346387469144,68334.65271735673,47877.00498293098,22087.561294078827,25789.443688852152,58368000.0,144896.0
det_head.reg_convs.2,102314.12476568474,34444.68846422414,68356.11878654898,31169.029352659585,10408.251376867294,20760.77797579229,14592000.0,144896.0
det_head.stems.0,119844.16106248807,52135.78728461155,68369.62892087504,23242.138920959842,10046.648487329483,13195.490433630359,34406400.0,20992.0
det_head.stems.1,124263.08254722475,56795.64597340999,68379.74070001168,14881.662417661862,6754.779640078545,8126.882777583318,18841600.0,46592.0
det_head.stems.2,109537.37452931929,42206.97037530371,68387.28434043363,12819.017991355537,4895.472571849823,7923.545419505713,9318400.0,92672.0
