# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,87363.19006611251,54218.699405340674,33151.28540620017,2260358.139603348,1402714.0927689075,857644.0468344404,1871627248.0,5995578.0
image_radar_encoder.radar_encoder,87891.15598278216,53900.64828060502,34009.21495250078,595583.730352742,365190.853336215,230392.87701652697,186812800.0,51099.0
image_radar_encoder.channel_attn_stage3.0,55289.817756005024,21749.918308013217,34163.284255300736,7227.888101052074,2809.1867554187775,4418.701345633296,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,54902.68609239061,21328.58093973103,34171.34219612082,6896.542049096869,2664.6131851673126,4231.928863929556,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,54837.11131481316,21146.947913106258,34179.47678531399,7181.428197463636,2758.4078164100647,4423.020381053571,48480.0,3.0
image_radar_encoder.channel_attn_stage4.1,54563.40523725969,20903.14660565295,34187.47171574598,7089.515362349779,2668.810423016548,4420.704939333231,12120.0,3.0
image_radar_encoder.channel_attn_stage5.0,54400.22409320496,20892.672657300343,34195.821357222,6776.098317128725,2560.1830656528473,4215.915251475878,23744.0,5.0
image_radar_encoder.channel_attn_stage5.1,54192.51937966303,20605.15081725611,34204.275403391046,6871.563041630675,2573.374207496643,4298.188834134032,5824.0,3.0
det_head.cls_convs.0,92558.64966901834,58460.5162938127,34261.76948348838,126384.19943409704,79653.83053195477,46730.368902142276,233472000.0,144896.0
det_head.cls_convs.1,92332.16704879174,58360.28541195959,34305.97841047507,34860.263372808025,21923.732782959938,12936.530589848091,58368000.0,144896.0
det_head.cls_convs.2,68193.60527753046,34064.62573637113,34325.63334959974,20881.176464177668,10396.470327854156,10484.706136323513,14592000.0,144896.0
det_head.reg_convs.0,92901.3749376891,58604.33717661613,34385.90994591713,127028.81519490876,80056.14769876003,46972.66749614872,233472000.0,144896.0
det_head.reg_convs.1,92672.90267399266,58547.202545881206,34433.01282814014,35053.757698465684,22068.55988907814,12985.197809387546,58368000.0,144896.0
det_head.reg_convs.2,68627.51669324355,34424.79894123879,34454.70094413567,20403.245753337767,10194.648709893227,10208.59704344454,14592000.0,144896.0
det_head.stems.0,84149.22421089411,50399.5540768604,34468.18247758501,15675.057691197395,9334.308624744415,6340.74906645298,26214400.0,15872.0
det_head.stems.1,85301.00273561256,52527.61119685642,34478.010899627276,9685.721029244349,5825.984426498413,3859.7366027459357,15769600.0,38912.0
det_head.stems.2,72031.37496631994,38925.78368507696,34485.39975783855,8312.683743464368,4386.007194042206,3926.6765494221613,7270400.0,72192.0
