# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,127147.99967504674,55266.89234789845,71884.8650076329,3683346.8383351946,1600958.3944756985,2082388.4438594962,3302248864.0,4856326.0
image_radar_encoder.radar_encoder,126857.52703760077,54107.72505060998,72790.79313602843,881650.987364491,375908.03985345364,505742.94751103735,194249600.0,68019.0
image_radar_encoder.channel_attn_stage3.0,93896.22853351086,22148.53557750527,72950.72245158801,12409.096847100704,2895.4919867515564,9513.604860349147,102656.0,3.0
image_radar_encoder.channel_attn_stage3.1,93771.6600568587,21307.55049178348,72958.99356219741,11962.889734469498,2691.994062900543,9270.895671568955,25664.0,3.0
image_radar_encoder.channel_attn_stage4.0,93076.02958005956,21490.318532768826,72967.23083537356,12221.523668039223,2785.8431367874146,9435.680531251808,58464.0,5.0
image_radar_encoder.channel_attn_stage4.1,93146.4089371231,21012.11015993984,72975.27501501077,12059.986715248497,2684.631038069725,9375.355677178772,14544.0,3.0
image_radar_encoder.channel_attn_stage5.0,92375.63651535643,20718.26291530393,72984.39460045949,11693.282472222141,2581.143471121788,9112.139001100353,30528.0,5.0
image_radar_encoder.channel_attn_stage5.1,92915.0617399331,20653.16809153201,72992.72505429538,12286.672159001715,2698.4308671951294,9588.241291806586,7488.0,3.0
det_head.cls_convs.0,131042.3695096897,58566.25261774115,73050.68964789955,178956.84788411253,79328.67661106586,99628.17127304667,233472000.0,144896.0
det_head.cls_convs.1,130961.73820766536,58396.82436247523,73097.94320351117,49194.51871707133,21827.510027050972,27367.008690020364,58368000.0,144896.0
det_head.cls_convs.2,106888.07074833584,34201.620167287125,73119.6518128192,32495.746793244234,10347.450046777725,22148.29674646651,14592000.0,144896.0
det_head.reg_convs.0,131826.68478194214,58705.57593042147,73182.05566775176,180230.47554321485,80222.28340637684,100008.19213683801,233472000.0,144896.0
det_head.reg_convs.1,131435.7924377586,58798.44726902427,73228.76521063788,49504.708308274305,22005.511338353157,27499.196969921148,58368000.0,144896.0
det_head.reg_convs.2,107019.76835892543,34352.15489663273,73250.43182763949,31900.882837674217,10166.501659750938,21734.38117792328,14592000.0,144896.0
det_head.stems.0,125760.98613808017,53270.13786946642,73264.69100092811,24396.102858860995,10278.702261209488,14117.400597651507,34406400.0,20992.0
det_head.stems.1,130365.244624562,58520.2061232915,73275.13425576364,15557.749772331865,6894.47540640831,8663.274365923555,18841600.0,46592.0
det_head.stems.2,114440.89576314186,42696.27938054937,73282.63355950385,13307.960362745842,4848.465679883957,8459.494682861885,9318400.0,92672.0
