# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,55631.050666783565,45473.444573812,10160.418537481703,1194143.8680324648,976059.5230933428,218084.34493912206,980088448.0,1487502.0
image_radar_encoder.radar_encoder,65471.86679187755,54565.81319247435,10910.473870334821,440053.38159019646,366737.1663199663,73316.21527023014,184412800.0,40887.0
image_radar_encoder.channel_attn_stage3.0,32133.497074086652,21814.929651291106,11065.428067212059,4148.345246600371,2733.6692249774933,1414.6760216228772,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,31740.74810450864,21319.954881690068,11073.513455684055,3968.864867186113,2599.5396246910095,1369.325242495103,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,31854.274573941137,21002.922534880145,11081.668268727619,4223.324598401087,2768.9650200605392,1454.359578340548,38784.0,3.0
image_radar_encoder.channel_attn_stage4.1,31738.24362899436,20766.615766761162,11089.811423949672,4156.462694341346,2708.836901664734,1447.625792676612,9696.0,3.0
image_radar_encoder.channel_attn_stage5.0,31389.760183176473,20778.743023215033,11097.792501356585,4129.489908970276,2683.9047906398773,1445.5851183303985,18656.0,5.0
image_radar_encoder.channel_attn_stage5.1,31585.08633829117,20738.866109768805,11105.845200266998,3987.7159499941013,2590.805680990219,1396.9102690038821,4576.0,3.0
det_head.cls_convs.0,69505.63812207885,58393.763539578635,11161.92010927899,94650.09031992638,79455.42711544037,15194.663204486013,233472000.0,144896.0
det_head.cls_convs.1,69739.49532855282,58597.991563346106,11208.536015674896,26176.75271954104,21976.38437628746,4200.36834325358,58368000.0,144896.0
det_head.cls_convs.2,45600.12014717781,34630.896216279405,11229.68529063282,13746.439531796332,10382.455478072166,3363.984053724165,14592000.0,144896.0
det_head.reg_convs.0,69675.14951946316,58467.089077973986,11288.87187277045,94958.83396333273,79588.11145210266,15370.722511230062,233472000.0,144896.0
det_head.reg_convs.1,69036.95209219167,58105.62992975603,11335.976860281018,26097.977421728196,21826.253629922867,4271.723791805329,58368000.0,144896.0
det_head.reg_convs.2,45351.884678971066,34254.8049673108,11357.351401395033,13680.581975100013,10270.812806248665,3409.769168851347,14592000.0,144896.0
det_head.stems.0,62489.791590288376,51429.802952311096,11370.569656201335,11642.64026112891,9545.103845596313,2097.536415532597,26214400.0,15872.0
det_head.stems.1,60937.4837922486,50299.7009074323,11380.161882519527,6752.950019619113,5495.101869344711,1257.8481502744014,12697600.0,31232.0
det_head.stems.2,47486.43357002887,36591.69722529364,11387.470522381751,5490.886072427822,4181.742246389389,1309.1438260384325,5734400.0,56832.0
