# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,135052.09409038405,57532.38381927206,77523.32040983712,4152706.3219241137,1769019.4765207767,2383686.845403337,3608171264.0,6247094.0
image_radar_encoder.radar_encoder,132400.2959900537,53791.25182201157,78625.39556454904,938699.7153916347,381293.5442459583,557406.1711456764,194249600.0,68019.0
image_radar_encoder.channel_attn_stage3.0,100299.74136132434,22475.741845078945,78789.5077211869,12558.989659803201,2745.7106981277466,9813.278961675454,102656.0,3.0
image_radar_encoder.channel_attn_stage3.1,99579.06951372119,21944.222337621224,78797.88217712339,12497.88186027182,2677.4353326559067,9820.446527615914,25664.0,3.0
image_radar_encoder.channel_attn_stage4.0,99807.16088206497,21843.498476338318,78806.31392418184,12506.234859147242,2724.156587123871,9782.078272023371,58464.0,5.0
image_radar_encoder.channel_attn_stage4.1,98789.80140712949,21390.402691876967,78814.74937850816,12633.17867082,2700.4777534008026,9932.700917419197,14544.0,3.0
image_radar_encoder.channel_attn_stage5.0,99120.5284952269,21271.39855219235,78823.16040503715,12407.199389186993,2654.132254719734,9753.06713446726,30528.0,5.0
image_radar_encoder.channel_attn_stage5.1,99366.7399384961,21112.255419873836,78831.6506944619,12396.346125549755,2609.2433552742004,9787.102770275555,7488.0,3.0
det_head.cls_convs.0,137173.59535247504,58377.329795305894,78892.50116321247,191363.11516185632,81335.31361019611,110027.8015516602,233472000.0,144896.0
det_head.cls_convs.1,136704.7356853274,58488.15511774811,78941.923688708,52645.043566594126,22346.75448155403,30298.289085040095,58368000.0,144896.0
det_head.cls_convs.2,113127.29230399927,34724.809974165124,78964.4028327067,33661.29135553806,10267.53276181221,23393.75859372585,14592000.0,144896.0
det_head.reg_convs.0,137280.27095902798,58419.85369097587,79029.33769370306,191863.12695327032,81517.0191321373,110346.10782113302,233472000.0,144896.0
det_head.reg_convs.1,136771.32026759445,57910.09053768664,79079.07214250685,53325.503105039505,22509.279893279076,30816.223211760425,58368000.0,144896.0
det_head.reg_convs.2,113349.544229329,34702.76579106092,79101.69385726086,33939.106921376384,10343.107159614563,23595.99976176182,14592000.0,144896.0
det_head.stems.0,131065.02327390957,52959.05584853906,79116.20003704817,26109.422668557654,10467.544441342354,15641.8782272153,34406400.0,20992.0
det_head.stems.1,135674.7939718558,58515.00048645526,79126.69454696211,16300.982785274306,6882.966331243515,9418.01645403079,18841600.0,46592.0
det_head.stems.2,123306.88791545127,45118.481201275725,79134.38496606855,14270.841137494548,5184.064764738083,9086.776372756465,9318400.0,92672.0
