# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,55988.03672556822,52656.334571044434,3334.079953050909,1461258.6666242885,1374246.9670727253,87011.69955156333,2469807248.0,1472726.0
image_radar_encoder.radar_encoder,57786.417645811795,53615.168974967164,4179.1334937103,390705.7032708829,362452.09158301353,28253.61168786935,184412800.0,40887.0
image_radar_encoder.channel_attn_stage3.0,25106.97432397147,21145.633972378022,4332.498647641064,3253.787261559212,2698.3483048677444,555.4389566914673,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,24891.299597744357,20839.09919710159,4340.364622723159,3256.6961262117798,2690.592789888382,566.1033363233978,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,24771.8858389227,20773.774168816308,4348.302594916961,3177.7356424816044,2622.7638759613037,554.9717665203007,38784.0,3.0
image_radar_encoder.channel_attn_stage4.1,24410.75899231219,20407.639763137217,4356.4092579466815,3064.4107257125647,2520.053795814514,544.3569298980507,9696.0,3.0
image_radar_encoder.channel_attn_stage5.0,23975.250967379983,19813.279727772453,4364.841119353065,3015.883973216395,2468.9270169734955,546.9569562428997,18656.0,5.0
image_radar_encoder.channel_attn_stage5.1,22559.701737970474,19896.371362503378,4372.861035984269,2929.1708681308787,2369.389307498932,559.781560631947,4576.0,3.0
det_head.cls_convs.0,62794.54458449764,58484.94185413145,4430.971941600163,85353.75852318732,79332.74074161053,6021.017781576797,233472000.0,144896.0
det_head.cls_convs.1,61867.7349438804,58008.253036703754,4477.328344873293,23320.823012078607,21640.04646396637,1680.7765481122365,58368000.0,144896.0
det_head.cls_convs.2,38640.865584829735,34363.1239921752,4498.71567253932,11536.180126377614,10198.078684926033,1338.101441451582,14592000.0,144896.0
det_head.reg_convs.0,63043.89138122302,58572.37243622957,4558.991471529746,85730.6070405534,79535.75407671928,6194.852963834109,233472000.0,144896.0
det_head.reg_convs.1,62439.05764358337,58297.068193367755,4604.889291276462,23408.394231154158,21689.093378186226,1719.3008529679332,58368000.0,144896.0
det_head.reg_convs.2,38961.054053275286,34558.416114651984,4625.841567374434,11635.190343289169,10257.890149712563,1377.3001935766067,14592000.0,144896.0
det_head.stems.0,57150.72489717713,52817.366620889195,4639.234616521489,10639.061320278786,9783.815036773682,855.2462835051049,26214400.0,15872.0
det_head.stems.1,55630.97733519045,51412.681285263214,4649.0139607442225,6196.594999828251,5683.3739647865295,513.2210350417215,12697600.0,31232.0
det_head.stems.2,40820.47781994317,36396.07868885578,4656.261218907864,4649.0998630995155,4123.444519042969,525.6553440565465,5734400.0,56832.0
