# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,102627.63385431077,50761.29756347087,51871.995885565535,2462520.113347787,1217923.1843732595,1244596.9289745274,1649467248.0,3686690.0
image_radar_encoder.fpn.backbone.network.0.0.token_mixer,95663.59832554974,44105.066471667276,52382.96086421665,12262.459120786247,5577.708793520927,6684.750327265318,204800.0,0.0
image_radar_encoder.fpn.backbone.network.0.1.token_mixer,103017.2215772914,51509.758161331185,52391.40608611723,13204.480070656662,6563.407578825951,6641.072491830711,204800.0,0.0
image_radar_encoder.fpn.backbone.network.0.2.token_mixer,102732.57224653974,51435.85886427742,52399.94685139947,13169.12115255518,6504.14111161232,6664.980040942862,204800.0,0.0
image_radar_encoder.fpn.backbone.network.0.3.token_mixer,102867.43536445753,51583.49228704872,52408.35905741805,13190.063336696363,6530.360834479332,6659.702502217031,204800.0,0.0
image_radar_encoder.fpn.backbone.network.2.0.token_mixer,98448.5704980953,51981.0,52413.616951605756,2966.8333202335234,1452.8218953609467,1514.0114248725765,76800.0,0.0
image_radar_encoder.fpn.backbone.network.2.1.token_mixer,97250.76640622737,51665.0,52416.13834153012,2920.60399962931,1432.2510266304016,1488.3529729989082,76800.0,0.0
image_radar_encoder.fpn.backbone.network.2.2.token_mixer,97756.39357576407,51518.28872740163,52418.70129401865,2939.7743203382133,1420.654485821724,1519.1198345164892,76800.0,0.0
image_radar_encoder.fpn.backbone.network.2.3.token_mixer,96168.3708409004,50474.0,52421.24168957273,2889.152544240994,1368.5717878341675,1520.5807564068261,76800.0,0.0
image_radar_encoder.fpn.backbone.network.4.0.token_mixer,91589.87416766598,44933.0,52423.92897526368,2000.4626208543493,886.2536487579346,1114.2089720964148,48000.0,0.0
image_radar_encoder.fpn.backbone.network.4.1.token_mixer,94727.35306925306,44933.0,52426.06758923214,2065.0827843173247,958.7154474258423,1106.3673368914826,48000.0,0.0
image_radar_encoder.fpn.backbone.network.4.2.token_mixer,88206.68244231534,40332.874141700646,52428.215783965,1923.7294856097212,813.6668552160263,1110.062630393695,48000.0,0.0
image_radar_encoder.fpn.backbone.network.4.3.token_mixer,88032.81809993523,40162.0,52430.35457925004,1911.6470986705067,803.2392339706421,1108.4078646998646,48000.0,0.0
image_radar_encoder.fpn.backbone.network.4.4.token_mixer,87581.50298216018,40078.41273100616,52432.486531000075,1902.3478621689608,791.0947299003601,1111.2531322686007,48000.0,0.0
image_radar_encoder.fpn.backbone.network.4.5.token_mixer,87427.1339896968,40060.0,52434.64516128173,1910.9385878499588,804.9527978897095,1105.9857899602493,48000.0,0.0
image_radar_encoder.fpn.backbone.network.4.6.token_mixer,87398.84775903629,39814.54152968423,52436.82594374284,1986.543929840976,840.230975985527,1146.312953855449,48000.0,0.0
image_radar_encoder.fpn.backbone.network.4.7.token_mixer,87221.44303761698,39737.0,52439.01993951462,1906.9625781620864,798.1214740276337,1108.8411041344527,48000.0,0.0
image_radar_encoder.fpn.backbone.network.4.8.token_mixer,86674.05352912053,39571.6008589993,52441.209291818464,1882.6372558395854,771.0242121219635,1111.6130437176218,48000.0,0.0
image_radar_encoder.fpn.backbone.network.4.9.token_mixer,85526.69665799105,39515.0,52443.35534405323,1872.0506286812267,761.4423859119415,1110.6082427692852,48000.0,0.0
image_radar_encoder.fpn.backbone.network.4.10.token_mixer,87074.32702727431,39801.907394884925,52445.50558387141,1898.4315179195705,785.8646295070648,1112.5668884125057,48000.0,0.0
image_radar_encoder.fpn.backbone.network.4.11.token_mixer,87058.63224429722,39997.0,52447.634277908975,1900.3932934739876,787.6186890602112,1112.7746044137764,48000.0,0.0
image_radar_encoder.fpn.backbone.network.6.0.token_mixer,83066.48781054477,35655.0,52450.096003893166,1818.7350849136278,708.7469029426575,1109.9881819709703,22400.0,0.0
image_radar_encoder.fpn.backbone.network.6.1.token_mixer,82922.13243588184,35655.0,52452.243224027894,1811.6797089640866,703.4593963623047,1108.2203126017819,22400.0,0.0
image_radar_encoder.fpn.backbone.network.6.2.token_mixer,77782.020654437,30744.253450355085,52454.3657095767,1709.281593737629,601.7417904138565,1107.5398033237725,22400.0,0.0
image_radar_encoder.fpn.backbone.network.6.3.token_mixer,77994.94860129154,30144.0,52456.50503374481,1709.4048607641046,602.2326049804688,1107.1722557836358,22400.0,0.0
image_radar_encoder.radar_encoder,107098.91970811818,54357.67468686093,52764.517395416326,726032.5694986932,368382.38633322716,357650.18316546606,186812800.0,51099.0
image_radar_encoder.channel_attn_stage3.0,74279.50836391911,21932.122838344967,52920.411860448905,9346.373199371543,2737.996220588684,6608.376978782859,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,73559.73860054431,21437.963620959476,52927.99490402441,9681.752285003397,2763.0479340553284,6918.704350948068,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,72921.29521550545,21370.53704254686,52935.63526008807,9349.713616299463,2671.4597940444946,6678.253822254968,48480.0,3.0
image_radar_encoder.channel_attn_stage4.1,73164.68780962743,21127.968945713517,52943.093597919804,9577.669420094113,2733.067893743515,6844.601526350597,12120.0,3.0
image_radar_encoder.channel_attn_stage5.0,73056.15580568831,20898.744508900265,52950.723213767465,9319.50623420361,2632.6074969768524,6686.8987372267575,23744.0,5.0
image_radar_encoder.channel_attn_stage5.1,73020.14247337963,20858.515885839362,52958.247690138305,9473.02394023179,2690.0363278388977,6782.9876123928925,5824.0,3.0
det_head.cls_convs.0,111445.32624124401,58507.63564658652,53011.29475462788,152116.94613022194,79805.46601855755,72311.48011166441,233472000.0,144896.0
det_head.cls_convs.1,111035.7266275979,58384.93176860208,53055.193828513686,41966.55654756209,22020.59036910534,19945.96617845675,58368000.0,144896.0
det_head.cls_convs.2,87411.16707994846,34616.751474623496,53075.21130385148,25806.95383976413,10172.312091350555,15634.641748413575,14592000.0,144896.0
det_head.reg_convs.0,111781.24509692627,58686.67966251044,53135.80341843867,152640.53858349795,80093.89997601509,72546.63860748286,233472000.0,144896.0
det_head.reg_convs.1,111107.54545705121,58444.53039384104,53182.72004277558,41990.866423578525,21981.855506300926,20009.0109172776,58368000.0,144896.0
det_head.reg_convs.2,86964.08270864213,34246.21026996705,53204.0781386435,26163.012448763864,10232.514228343964,15930.4982204199,14592000.0,144896.0
det_head.stems.0,103253.68439069197,50719.81435763397,53217.802315749796,19234.66378556597,9391.796831846237,9842.866953719731,26214400.0,15872.0
det_head.stems.1,104890.56385521394,52612.09525582557,53227.60548715384,11760.545975314828,5828.217424154282,5932.328551160546,15769600.0,38912.0
det_head.stems.2,91547.29867694687,39616.757043067955,53234.76801711629,10609.986323370595,4491.972831249237,6118.0134921213585,7270400.0,72192.0
