# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,136808.02708289976,54012.64530769774,82803.6670231747,3868990.4964478742,1527332.3095908165,2341658.1868570577,3189681536.0,3540582.0
image_radar_encoder.radar_encoder,136910.3052768866,53122.87853946133,83796.67127207448,974766.2677958094,378188.7994353771,596577.4683604323,194249600.0,68019.0
image_radar_encoder.channel_attn_stage3.0,105140.3499233674,22153.511030023663,83959.36418171703,13961.77185928059,2919.59366106987,11042.17819821072,102656.0,3.0
image_radar_encoder.channel_attn_stage3.1,104358.2653021349,21481.10088244134,83967.61828395595,13569.298455610277,2743.445814371109,10825.852641239167,25664.0,3.0
image_radar_encoder.channel_attn_stage4.0,103288.70357305133,21569.267501426373,83976.07937700246,13233.392327135094,2514.704827308655,10718.68749982644,58464.0,5.0
image_radar_encoder.channel_attn_stage4.1,104080.64755135226,20966.462762903422,83984.93494550178,13286.76551904701,2646.721594810486,10640.043924236525,14544.0,3.0
image_radar_encoder.channel_attn_stage5.0,103946.30572422463,21057.362257528453,83993.36914001148,13225.25457313562,2640.454051733017,10584.800521402603,30528.0,5.0
image_radar_encoder.channel_attn_stage5.1,103580.04571455557,20816.944256056842,84001.86341658447,13435.808003308015,2671.1305809020996,10764.677422405915,7488.0,3.0
det_head.cls_convs.0,142259.71608235574,58346.425062500886,84062.81735936581,199472.53539139964,81633.4052284956,117839.13016290405,233472000.0,144896.0
det_head.cls_convs.1,141890.4275739961,58127.20864839978,84111.88599350954,54865.83631703677,22394.524131774902,32471.312185261868,58368000.0,144896.0
det_head.cls_convs.2,117917.55743960623,34515.61073332042,84134.01510584803,35399.77678735898,10280.051296114922,25119.72549124405,14592000.0,144896.0
det_head.reg_convs.0,142366.67867471493,58367.22099294816,84195.69562516049,200254.09012104064,81969.49826669693,118284.59185434371,233472000.0,144896.0
det_head.reg_convs.1,142283.04614473422,58715.97071789714,84243.30029711149,55320.68654530647,22701.289186239243,32619.397359067225,58368000.0,144896.0
det_head.reg_convs.2,118353.03237715206,34557.957755095485,84265.56100706891,35249.20890983202,10255.653084874153,24993.555824957868,14592000.0,144896.0
det_head.stems.0,136115.25427539548,52705.790550776226,84279.94144426062,27136.279613204028,10435.191210627556,16701.08840257647,34406400.0,20992.0
det_head.stems.1,140890.60156826343,58395.901685827965,84290.52803192157,16848.374243164475,6837.338672280312,10011.035570884163,18841600.0,46592.0
det_head.stems.2,128326.83560489403,45167.227648809894,84298.21378045133,14933.90919528809,5165.812994599342,9768.096200688748,9318400.0,92672.0
