# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,132620.66040684524,52458.918191837,80170.71708178677,3118746.9784643548,1233524.0520620346,1885222.9264023202,1768315136.0,3481302.0
image_radar_encoder.radar_encoder,134016.32344772827,52984.98969826498,81065.1761777659,963624.8858540026,380789.30281066895,582835.5830433336,194249600.0,68019.0
image_radar_encoder.channel_attn_stage3.0,102321.81546824514,22237.771797266323,81230.87930449528,13074.336016454337,2810.297520160675,10264.038496293662,102656.0,3.0
image_radar_encoder.channel_attn_stage3.1,102652.55546211064,21717.865947626226,81239.20228206813,13120.439317283239,2748.4520065784454,10371.987310704793,25664.0,3.0
image_radar_encoder.channel_attn_stage4.0,100777.13705653432,21672.100027502915,81247.82903577841,12795.702432091586,2611.4227833747864,10184.2796487168,58464.0,5.0
image_radar_encoder.channel_attn_stage4.1,101415.58115314698,21178.191050962945,81256.16751980467,12735.413333618506,2626.2436542510986,10109.169679367407,14544.0,3.0
image_radar_encoder.channel_attn_stage5.0,101703.98299808333,21180.970538391102,81264.56110286183,13210.302549697592,2735.4902193546295,10474.812330342962,30528.0,5.0
image_radar_encoder.channel_attn_stage5.1,100663.55528831261,20989.51903422771,81273.07959557547,12860.841126843026,2598.0779163837433,10262.763210459283,7488.0,3.0
det_head.cls_convs.0,139652.63234141583,58427.78410812174,81333.32499336568,196991.33211324556,82309.92132127285,114681.41079197272,233472000.0,144896.0
det_head.cls_convs.1,139405.04010526458,58447.784001999185,81383.14687464638,54898.8376614835,22918.51044154167,31980.32721994183,58368000.0,144896.0
det_head.cls_convs.2,115050.80144551684,34291.94713205365,81405.36691369466,35573.43907829427,10517.037378549576,25056.401699744696,14592000.0,144896.0
det_head.reg_convs.0,139743.71903567074,58419.120667068164,81469.55151447229,197605.3198564113,82471.17858064175,115134.14127576957,233472000.0,144896.0
det_head.reg_convs.1,139963.11613498576,58828.47320218436,81518.98094924151,55074.56439156072,23087.408160805702,31987.156230755023,58368000.0,144896.0
det_head.reg_convs.2,115445.88638135904,34369.82551579211,81540.88940760816,35381.10411827882,10489.411961555481,24891.69215672334,14592000.0,144896.0
det_head.stems.0,133675.20203567017,53012.16484357484,81555.35177047556,26668.37337784426,10429.20419728756,16239.169180556699,34406400.0,20992.0
det_head.stems.1,137850.19023872458,58197.40042164357,81566.10001321923,16676.62637934964,6950.116939306259,9726.509440043379,18841600.0,46592.0
det_head.stems.2,125723.73025547815,45481.5525785748,81573.92297497086,14102.668233344108,5023.00507235527,9079.663160988837,9318400.0,92672.0
