# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,61959.04084207615,54067.630212008306,7896.798959972923,1603138.8484407023,1398826.8994995356,204311.94894116677,2629504048.0,3460310.0
image_radar_encoder.radar_encoder,62726.73175894283,53978.48413565706,8767.713922697496,423608.1872667831,364406.9536306858,59201.2336360973,184412800.0,40887.0
image_radar_encoder.channel_attn_stage3.0,30185.111909029507,21807.64457908885,8925.121573095623,3770.8576374259233,2665.320780277252,1105.536857148671,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,29812.849539720228,21263.28689803719,8933.355467557782,3739.0948381715125,2631.3666322231293,1107.728205948383,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,29428.591632155938,20814.389229759865,8942.235593986237,3689.13352013735,2579.263772726059,1109.869747411291,38784.0,3.0
image_radar_encoder.channel_attn_stage4.1,29471.520503252857,20738.24934728073,8950.348863146668,3734.1026607709305,2611.499988794327,1122.6026719766037,9696.0,3.0
image_radar_encoder.channel_attn_stage5.0,29474.480971026504,20849.052198420155,8958.67598826572,3751.3572459893485,2629.747802257538,1121.6094437318104,18656.0,5.0
image_radar_encoder.channel_attn_stage5.1,29543.504271016394,20733.8459599937,8966.883480153489,3775.0537252507575,2636.3591651916504,1138.694560059107,4576.0,3.0
det_head.cls_convs.0,67296.37580865127,58317.25757925659,9024.539639633405,91833.96231405035,79533.4402359724,12300.522078077953,233472000.0,144896.0
det_head.cls_convs.1,66908.61619554402,58021.48910111102,9072.051751681605,25162.75551460052,21761.904098391533,3400.8514162089896,58368000.0,144896.0
det_head.cls_convs.2,42748.857931703606,33932.88792052271,9093.31052415235,12961.056509361566,10217.57332444191,2743.483184919656,14592000.0,144896.0
det_head.reg_convs.0,67664.05286228056,58568.04454614099,9155.62736432934,92401.26361726932,79906.92530679703,12494.338310472296,233472000.0,144896.0
det_head.reg_convs.1,67469.39719113027,58582.20185064793,9203.346230262643,25433.8457003205,21978.004884123802,3455.840816196697,58368000.0,144896.0
det_head.reg_convs.2,43554.99069397481,34594.68214511428,9225.171157410372,12946.099336911753,10218.688432216644,2727.4109046951094,14592000.0,144896.0
det_head.stems.0,59378.68859641249,50613.11880280408,9238.93013392544,11050.1053275424,9345.287219285965,1704.8181082564347,26214400.0,15872.0
det_head.stems.1,58456.82645348361,50138.98354338001,9248.85353734475,6642.717292453397,5601.985764980316,1040.7315274730806,12697600.0,31232.0
det_head.stems.2,43591.365654316,35304.07593661718,9256.50248740477,4926.5897419727835,3894.1849298477173,1032.4048121250662,5734400.0,56832.0
