# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,87294.43651910243,49059.449459860836,38240.82819219973,2076000.8718867132,1166625.5541629791,909375.3177237341,1425221648.0,3098810.0
image_radar_encoder.radar_encoder,92471.64854116889,53440.667229184175,39040.37597242498,627870.6508500122,362825.4718772173,265045.1789727949,186812800.0,51099.0
image_radar_encoder.channel_attn_stage3.0,60423.82875763038,21665.111069897557,39196.257709336314,7702.384915286517,2736.4089263677597,4965.975988918757,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,59630.25919077329,21202.629863121587,39204.4524824788,7937.4150008592305,2772.803717136383,5164.6112837228475,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,59326.867231218486,21009.49012234506,39212.69370525142,7590.813300062184,2608.8248883485794,4981.988411713604,48480.0,3.0
image_radar_encoder.channel_attn_stage4.1,58413.04442950189,20495.098890616515,39222.30649028357,7464.308979472088,2492.133824944496,4972.175154527592,12120.0,3.0
image_radar_encoder.channel_attn_stage5.0,56750.946883850804,20679.361671813913,39230.76994284797,7476.158545755551,2353.144736289978,5123.013809465573,23744.0,5.0
image_radar_encoder.channel_attn_stage5.1,59165.4753538688,20278.071217198147,39240.14165263043,7552.841020404487,2568.2728271484375,4984.568193256049,5824.0,3.0
det_head.cls_convs.0,97643.38655279976,58444.15669830326,39298.872013347536,133251.32997922317,79660.3142645359,53591.015714687266,233472000.0,144896.0
det_head.cls_convs.1,97688.64210363076,58684.73312338788,39345.97545654637,36913.848193585785,22087.925799250603,14825.922394335183,58368000.0,144896.0
det_head.cls_convs.2,73379.986988695,34369.45342524068,39367.54648949448,21545.000051685827,10009.521185874939,11535.478865810886,14592000.0,144896.0
det_head.reg_convs.0,97871.55898804967,58580.22708646348,39428.83272791492,133588.09865181972,79822.79131829739,53765.30733352233,233472000.0,144896.0
det_head.reg_convs.1,97165.86671730567,58093.96369068025,39475.704297452554,36738.012449210284,21858.04941022396,14879.963038986321,58368000.0,144896.0
det_head.reg_convs.2,73477.81957027748,34219.59219468901,39497.268141533015,21747.017323225205,10093.248493909836,11653.76882931537,14592000.0,144896.0
det_head.stems.0,89093.96283334363,50648.38582529823,39510.900941685126,16586.695798911143,9292.592722892761,7294.103076018383,26214400.0,15872.0
det_head.stems.1,91047.369743421,52532.1117476602,39520.66962216567,10237.593274987394,5830.604198932648,4406.989076054746,15769600.0,38912.0
det_head.stems.2,79287.55485652351,40697.64673660345,39527.90874128213,8697.67182226553,4382.355060100555,4315.316762164975,7270400.0,72192.0
