# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,96890.29052589582,53980.34861082105,42919.95456921378,1794338.045739333,999600.2388505936,794737.8068887393,1181912848.0,2071274.0
image_radar_encoder.radar_encoder,97345.0676125036,53703.23321846299,43668.01203153778,660822.1012851667,364455.8642692566,296366.2370159101,186812800.0,51099.0
image_radar_encoder.channel_attn_stage3.0,64756.736809584465,21695.3137511036,43824.57614148864,8229.561667826845,2724.3128592967987,5505.248808530046,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,64464.532682527555,21355.850889285124,43832.63455061253,8290.822933674146,2718.4832239151,5572.339709759047,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,63160.25492836585,21142.51332682327,43840.850423262724,8306.959273683673,2591.3378431797028,5715.62143050397,48480.0,3.0
image_radar_encoder.channel_attn_stage4.1,63648.7189830198,20741.20981390793,43849.268056572466,7969.914331713441,2524.4683289527893,5445.446002760652,12120.0,3.0
image_radar_encoder.channel_attn_stage5.0,63949.910152774006,20709.40312903464,43857.424613956435,8355.012801944627,2677.0172568559647,5677.995545088662,23744.0,5.0
image_radar_encoder.channel_attn_stage5.1,64126.95262386518,20601.052919909194,43865.53151299484,8232.392702179004,2628.75235748291,5603.640344696093,5824.0,3.0
det_head.cls_convs.0,102304.64451425252,58492.35766936544,43924.001215437915,139546.47046741494,79709.06897127628,59837.40149613865,233472000.0,144896.0
det_head.cls_convs.1,102382.50500822345,58732.72039918617,43971.24164704566,38743.77013901052,22175.41411972046,16568.35601929006,58368000.0,144896.0
det_head.cls_convs.2,77778.66693171699,34141.720451317655,43992.94462681363,23331.148578677683,10161.912024617195,13169.236554060488,14592000.0,144896.0
det_head.reg_convs.0,102500.3663698025,58581.34091705602,44055.638044036,139860.41051414603,79824.44871878624,60035.961795359806,233472000.0,144896.0
det_head.reg_convs.1,101988.35350156734,58219.18737877029,44103.4844502252,38563.85498622995,21954.954726815224,16608.900259414724,58368000.0,144896.0
det_head.reg_convs.2,77921.5844657345,34224.92543287281,44125.241507820574,23323.67308042572,10167.003665208817,13156.669415216904,14592000.0,144896.0
det_head.stems.0,93483.56457902344,50310.46798761161,44139.2998801251,17429.20866782181,9271.880666255951,8157.32800156586,26214400.0,15872.0
det_head.stems.1,96538.61130502538,53021.31924015063,44149.1664621817,10944.714836143932,5965.199276685715,4979.515559458217,15769600.0,38912.0
det_head.stems.2,81647.00701128402,38566.95544694611,44156.709115397476,9240.76296122542,4319.636494874954,4921.126466350466,7270400.0,72192.0
