# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,68840.63792677912,53940.32751881059,14902.904408769562,2305666.5384145575,1806542.3708633184,499124.167551239,5079142464.0,3846796.0
image_radar_encoder.radar_encoder,69526.19507735813,53479.201062898755,16055.771596611781,501615.01463703695,385802.7808842659,115812.23375277108,194249600.0,68019.0
image_radar_encoder.channel_attn_stage3.0,37204.87692763914,21165.44611776846,16268.125965669038,6559.789320356297,3696.907516479492,2862.881803876805,102656.0,3.0
image_radar_encoder.channel_attn_stage3.1,36099.500446459715,20174.226189115503,16279.136570813842,5716.596555360974,3156.1717784404755,2560.4247769204985,25664.0,3.0
image_radar_encoder.channel_attn_stage4.0,36228.95508508538,20233.78557206965,16290.212043851243,5892.375702204215,3273.3759953975677,2618.999706806647,58464.0,5.0
image_radar_encoder.channel_attn_stage4.1,35841.529035686115,19935.99642595649,16301.807500831337,6287.049217703927,3447.0946197509766,2839.9545979529507,14544.0,3.0
image_radar_encoder.channel_attn_stage5.0,35780.93514581747,19813.455059974694,16314.549970587426,5731.913859641669,3139.9593682289124,2591.9544914127564,30528.0,5.0
image_radar_encoder.channel_attn_stage5.1,35862.03700772964,19763.104169827697,16326.231287366129,6301.505294038717,3447.054696559906,2854.450597478811,7488.0,3.0
det_head.cls_convs.0,74008.06506934055,57687.697419606404,16383.56801854586,91997.39118864284,71638.4709559679,20358.920232674936,233472000.0,144896.0
det_head.cls_convs.1,68389.23302374691,52227.10058636369,16431.071032323314,29195.01501043093,22197.797805666924,6997.217204764004,58368000.0,144896.0
det_head.cls_convs.2,51126.185319513126,34955.04847540027,16456.72665514597,18282.393409868164,12407.701112270355,5874.69229759781,14592000.0,144896.0
det_head.reg_convs.0,73943.5431768243,57555.333165587435,16517.527827470774,92196.26101228045,71605.63828420639,20590.622728074057,233472000.0,144896.0
det_head.reg_convs.1,68746.97959576502,52344.573856844014,16564.76682257915,29397.97225645241,22330.056849956512,7067.9154064958975,58368000.0,144896.0
det_head.reg_convs.2,51436.5473490972,35063.48369546615,16589.98031272622,18347.18053030097,12456.206478714943,5890.9740515860285,14592000.0,144896.0
det_head.stems.0,69667.51064935325,53708.685708062614,16606.692228398864,14950.421251133077,11405.430551052094,3544.9907000809826,34406400.0,20992.0
det_head.stems.1,70189.55373085196,54009.3079490945,16618.132203679314,10157.000931964063,7768.767265319824,2388.233666644238,18841600.0,46592.0
det_head.stems.2,55376.92953569435,39219.695304396686,16627.55609258661,8142.960918597389,5724.603863239288,2418.3570553581003,9318400.0,92672.0
