# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,60757.76370982566,54492.29700814039,6269.803882319629,1518594.1307940362,1361886.5631321669,156707.56766186934,3919272848.0,797484.0
image_radar_encoder.radar_encoder,60497.82232484539,53319.106039645434,7187.110209493567,427514.2625123259,376736.2129560709,50778.04955625499,186812800.0,51099.0
image_radar_encoder.channel_attn_stage3.0,27892.639903020754,20766.12110751871,7386.037297157841,4793.52212356942,3531.242280483246,1262.279843086174,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,26901.210938251523,19710.267860215754,7397.00910382042,4362.02882918608,3167.7753266096115,1194.2535025764678,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,27079.07889688534,20142.637938604465,7407.989618685602,4706.39533426611,3434.49826335907,1271.89707090704,48480.0,3.0
image_radar_encoder.channel_attn_stage4.1,26985.841306550614,19692.210953915404,7419.475905102025,4665.825186476409,3391.9135504961014,1273.9116359803077,12120.0,3.0
image_radar_encoder.channel_attn_stage5.0,26730.506635877216,19728.820467213227,7430.307374923908,4268.324350679451,3086.123059988022,1182.2012906914285,23744.0,5.0
image_radar_encoder.channel_attn_stage5.1,26521.895489688664,19399.57886192697,7441.380316475513,4745.7915708083165,3424.63778924942,1321.1537815588963,5824.0,3.0
det_head.cls_convs.0,65122.6797987972,57678.850854957505,7495.106918377565,80878.91261767242,71578.39139890671,9300.521218765716,233472000.0,144896.0
det_head.cls_convs.1,59979.216766408295,52646.81045067143,7540.485918149392,25785.53305182072,22556.556704998016,3228.976346822701,58368000.0,144896.0
det_head.cls_convs.2,42545.7735228871,35049.49764540208,7564.314909706905,15265.501898087823,12556.337062358856,2709.164835728966,14592000.0,144896.0
det_head.reg_convs.0,65264.730532986054,57725.06961525161,7623.91680747868,81049.52809073459,71596.18018293381,9453.347907800788,233472000.0,144896.0
det_head.reg_convs.1,59219.42858564587,51900.58698944656,7670.735898219093,25277.238978868634,22010.44094824791,3266.798030620726,58368000.0,144896.0
det_head.reg_convs.2,42494.4892086435,34960.755920387055,7695.26211558226,14974.36166485117,12268.060383677483,2706.301281173688,14592000.0,144896.0
det_head.stems.0,60298.08947903146,53213.24230924034,7711.2273639719115,11942.541121900696,10433.594191074371,1508.946930826326,26214400.0,15872.0
det_head.stems.1,57156.260783183214,50087.249000083975,7722.382148485449,8381.997236956035,7252.2250187397,1129.7722182163336,15769600.0,38912.0
det_head.stems.2,41374.50616784292,33806.22605199918,7731.824943752625,6198.140343415,5044.419625282288,1153.7207181327117,7270400.0,72192.0
