# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,85429.00845107443,54875.996629218454,30555.274338137642,2662210.8789033582,1710042.2057642937,952168.6731390646,3110293648.0,2636054.0
image_radar_encoder.radar_encoder,86083.6574896559,54554.10967238924,31544.289955122247,583614.2543879932,369798.1714024544,213816.08298553887,186812800.0,51099.0
image_radar_encoder.channel_attn_stage3.0,53470.179093913146,22083.414099532725,31702.64039997742,6860.616584105563,2810.1608612537384,4050.4557228518247,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,52776.09670957195,21467.081234150464,31710.792162151163,6616.76708781769,2664.0999612808228,3952.667126536867,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,52772.17519095602,21244.421366711347,31718.93036617522,6847.316254281348,2747.0530656576157,4100.263188623732,48480.0,3.0
image_radar_encoder.channel_attn_stage4.1,52329.80509837475,21017.490858082616,31727.05645407122,6898.2876652543755,2745.3097245693207,4152.977940685055,12120.0,3.0
image_radar_encoder.channel_attn_stage5.0,52302.7941619555,20968.615999537767,31735.135778023796,6751.546938213529,2682.2685253620148,4069.2784128515145,23744.0,5.0
image_radar_encoder.channel_attn_stage5.1,52047.79351058286,20906.999427409122,31743.22029369417,6808.162076865716,2703.0182822942734,4105.143794571442,5824.0,3.0
det_head.cls_convs.0,90299.574278156,58585.38751623749,31799.80487352167,123276.48749334016,79914.62182700634,43361.86566633382,233472000.0,144896.0
det_head.cls_convs.1,89917.29343414867,58219.30971786656,31847.29621438527,34062.185232781434,22037.52082145214,12024.664411329291,58368000.0,144896.0
det_head.cls_convs.2,65712.1527625213,34252.46004207899,31868.703487819035,19787.34025437846,10258.733886957169,9528.606367421295,14592000.0,144896.0
det_head.reg_convs.0,90315.19509598776,58508.51311225813,31930.40636597945,123322.83408625754,79782.59998142719,43540.23410483035,233472000.0,144896.0
det_head.reg_convs.1,90301.2905544275,58696.43639554438,31978.213468181944,34056.62032934322,22044.792001605034,12011.828327738182,58368000.0,144896.0
det_head.reg_convs.2,65942.33986351198,34204.55525721618,32000.299435184475,19958.62664038445,10308.199119567871,9650.427520816578,14592000.0,144896.0
det_head.stems.0,82981.07245734338,51816.11917650707,32014.04994522068,15463.037141680783,9562.185422182083,5900.851719498699,26214400.0,15872.0
det_head.stems.1,84102.30991009691,54006.09911972996,32023.94178387903,9355.914375277007,5836.330544471741,3519.583830805266,15769600.0,38912.0
det_head.stems.2,69577.69850614606,38751.155193848615,32031.435639629617,7932.178519888845,4339.99959230423,3592.1789275846154,7270400.0,72192.0
