# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,112995.80575365548,55724.22394760398,57276.98584650634,3421702.4122333005,1687305.465725422,1734396.9465078788,2653448864.0,5085206.0
image_radar_encoder.radar_encoder,112933.90924335572,54711.5208204807,58254.528925909304,784865.9031276305,380083.04976820946,404782.853359421,194249600.0,68019.0
image_radar_encoder.channel_attn_stage3.0,79841.52458959848,22475.99335793847,58413.3133126664,10211.683756009463,2829.787186741829,7381.896569267634,102656.0,3.0
image_radar_encoder.channel_attn_stage3.1,79474.46872001397,21572.385722526407,58421.513530140764,10080.512823324756,2719.420281648636,7361.092541676121,25664.0,3.0
image_radar_encoder.channel_attn_stage4.0,79824.40292934603,21852.929964221315,58429.733115658106,10165.435703817204,2747.8771065473557,7417.558597269848,58464.0,5.0
image_radar_encoder.channel_attn_stage4.1,79278.51146277093,21211.39268298931,58437.77246114923,10390.96975459803,2763.8605929613113,7627.109161636719,14544.0,3.0
image_radar_encoder.channel_attn_stage5.0,78877.68564636432,21124.65899325805,58445.76734900654,10383.135480107383,2755.832859516144,7627.302620591238,30528.0,5.0
image_radar_encoder.channel_attn_stage5.1,78488.36735091593,20898.227662767287,58453.829893560614,10132.499293334733,2662.8809893131256,7469.618304021607,7488.0,3.0
det_head.cls_convs.0,117030.11563145781,58591.60490369061,58510.82755277154,159717.9556797602,79924.17842245102,79793.77725730916,233472000.0,144896.0
det_head.cls_convs.1,116974.13357625455,58669.2242641068,58558.14510821785,44048.668995272135,22061.120769143105,21987.548226129027,58368000.0,144896.0
det_head.cls_convs.2,92577.09958391657,34454.62580163019,58579.95194403756,27765.356081364735,10266.611090421677,17498.744990943058,14592000.0,144896.0
det_head.reg_convs.0,117087.25785208354,58582.47252795459,58641.191673729496,159983.50717509518,79916.95872807503,80066.54844702015,233472000.0,144896.0
det_head.reg_convs.1,116802.52309415152,58602.32647402764,58688.14850966767,44182.155948304026,22043.929471850395,22138.22647645363,58368000.0,144896.0
det_head.reg_convs.2,92807.3745748891,34885.554988710224,58709.93587350494,27507.404274110588,10196.157272815704,17311.247001294883,14592000.0,144896.0
det_head.stems.0,111998.92496796235,54077.01967032694,58723.7255309696,21699.83443674199,10367.620903849602,11332.213532892387,34406400.0,20992.0
det_head.stems.1,114859.52461847593,57813.72094123401,58734.01481318216,13875.908985681588,6876.453319072723,6999.455666608864,18841600.0,46592.0
det_head.stems.2,101639.17463410927,44726.25199786313,58741.851038107605,11492.051816017796,4890.472903251648,6601.578912766148,9318400.0,92672.0
