# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,136644.79498572816,50847.50133584948,85800.98906730881,4744615.936018507,1765463.9929083586,2979151.9431101484,2932579264.0,8132854.0
image_radar_encoder.fpn.backbone.network.0.0.token_mixer,127151.09786727777,41819.59555469281,86537.1060223773,16726.82723132149,5444.51869225502,11282.308539066473,204800.0,0.0
image_radar_encoder.fpn.backbone.network.0.1.token_mixer,135664.10555979857,50515.641200583035,86545.94020149992,17981.501070967766,6602.050659656525,11379.450411311242,204800.0,0.0
image_radar_encoder.fpn.backbone.network.0.2.token_mixer,134947.03796763957,50478.61455738479,86554.66543433479,17819.761408491355,6522.245267868042,11297.516140623313,204800.0,0.0
image_radar_encoder.fpn.backbone.network.0.3.token_mixer,135905.6437284011,50465.52153765388,86563.1955854446,17967.018085676074,6623.582857131958,11343.435228544116,204800.0,0.0
image_radar_encoder.fpn.backbone.network.0.4.token_mixer,135931.9307047246,50558.207058812724,86571.68162368129,17845.136437435413,6561.66381919384,11283.472618241572,204800.0,0.0
image_radar_encoder.fpn.backbone.network.0.5.token_mixer,135941.07318874157,50536.94559381764,86580.16624464768,17835.997592311665,6557.735666036606,11278.261926275058,204800.0,0.0
image_radar_encoder.fpn.backbone.network.2.0.token_mixer,133400.12342938822,51018.36645609756,86586.18294881305,6724.831747480968,2493.563919901848,4231.26782757912,102400.0,0.0
image_radar_encoder.fpn.backbone.network.2.1.token_mixer,134515.83081448823,51786.0,86589.78034408536,7001.564285381837,2600.421947479248,4401.142337902589,102400.0,0.0
image_radar_encoder.fpn.backbone.network.2.2.token_mixer,134164.88643279218,52276.0,86593.37198737703,6962.409817182536,2637.9892959594727,4324.420521223064,102400.0,0.0
image_radar_encoder.fpn.backbone.network.2.3.token_mixer,134607.1193572475,51497.0,86596.9704921099,7037.44591740004,2606.413875102997,4431.0320422970435,102400.0,0.0
image_radar_encoder.fpn.backbone.network.2.4.token_mixer,136049.43002561392,52151.223506633745,86600.45006148072,7135.622480777432,2613.750731229782,4521.87174954765,102400.0,0.0
image_radar_encoder.fpn.backbone.network.2.5.token_mixer,135686.12153886567,52546.0231856717,86603.97064163027,7111.1649395351205,2689.499916434288,4421.6650231008325,102400.0,0.0
