# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,58443.12791073104,52884.578123429135,5561.066359109721,1242993.045144605,1124723.3664212227,118269.67872338234,1312633648.0,3421302.0
image_radar_encoder.radar_encoder,62036.49043072522,55744.785582656295,6306.986354986269,416855.0889114295,374489.6781103611,42365.410801068414,184412800.0,40887.0
image_radar_encoder.channel_attn_stage3.0,27948.025767039275,22101.6663822058,6459.553968715894,3489.7184502396126,2692.2030849456787,797.5153652939338,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,27776.968222625983,21573.940244895828,6467.570174126181,3586.6314585307973,2759.4176399707794,827.2138185600178,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,27320.29419049545,21187.492930369626,6475.658965571666,3582.6008244984087,2739.1664633750916,843.4343611233171,38784.0,3.0
image_radar_encoder.channel_attn_stage4.1,27234.857661711496,20983.295829166684,6483.549141188866,3550.560261930106,2711.5317120552063,839.0285498749,9696.0,3.0
image_radar_encoder.channel_attn_stage5.0,27034.945013173634,20900.06830249126,6491.621083211382,3497.1878554731798,2669.0352880954742,828.1525673777055,18656.0,5.0
image_radar_encoder.channel_attn_stage5.1,27029.271951696293,20823.323110914553,6499.766418010019,3564.976035041425,2716.645982980728,848.3300520606967,4576.0,3.0
det_head.cls_convs.0,64694.07991106409,58239.53314059387,6556.166742872591,88177.39309434214,79251.28914475441,8926.103949587738,233472000.0,144896.0
det_head.cls_convs.1,64541.35087950268,58244.76106710762,6603.072880879887,24178.155190483976,21717.18064069748,2460.974549786496,58368000.0,144896.0
det_head.cls_convs.2,40879.267492222556,34451.99310601936,6624.135501418858,12410.695183332915,10410.499711632729,2000.1954717001856,14592000.0,144896.0
det_head.reg_convs.0,65081.17073254213,58466.37011935993,6683.654439589672,88711.2006917563,79611.27593243122,9099.924759325077,233472000.0,144896.0
det_head.reg_convs.1,65127.41708001006,58575.61881933532,6730.1766824211,24443.790229187536,21925.817923426628,2517.972305760909,58368000.0,144896.0
det_head.reg_convs.2,41425.98386075589,34793.248000490225,6751.8377695249055,12440.237855386482,10423.59688782692,2016.6409675595623,14592000.0,144896.0
det_head.stems.0,58249.62756809475,51820.31608039813,6765.477089854168,10843.908535624134,9597.726684093475,1246.1818515306577,26214400.0,15872.0
det_head.stems.1,56768.34483219392,50356.8407562308,6775.42093761524,6381.347066525766,5626.494849205017,754.8522173207493,12697600.0,31232.0
det_head.stems.2,43183.97248233855,36862.247063317525,6783.036970281375,4827.420515488166,4072.332712650299,755.087802837867,5734400.0,56832.0
