# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,122754.66805793456,53354.406041634604,69405.06857352331,2987010.0813621962,1298214.180520773,1688795.900841423,1880882464.0,4797046.0
image_radar_encoder.radar_encoder,124003.52464886106,53816.95621455909,70208.36167888538,866233.8177298631,375886.11802458763,490347.6997052754,194249600.0,68019.0
image_radar_encoder.channel_attn_stage3.0,91593.4855943542,22231.348027263346,70364.63006504638,11682.105420265712,2804.2224526405334,8877.882967625179,102656.0,3.0
image_radar_encoder.channel_attn_stage3.1,91369.12973892843,21380.878238898746,70372.81547568105,11955.37443882961,2775.1224879026413,9180.25195092697,25664.0,3.0
image_radar_encoder.channel_attn_stage4.0,91192.28271321776,21085.898842845687,70381.07386415864,12012.114407323557,2758.764707803726,9253.349699519831,58464.0,5.0
image_radar_encoder.channel_attn_stage4.1,89960.94472422184,20728.268457062743,70389.24402589753,11364.13504358471,2559.1526873111725,8804.982356273538,14544.0,3.0
image_radar_encoder.channel_attn_stage5.0,89555.67738212638,20851.374791812697,70397.36651860113,11234.835808098287,2546.124282360077,8688.71152573821,30528.0,5.0
image_radar_encoder.channel_attn_stage5.1,90373.66283291808,20663.39481010483,70405.53639794624,11479.10117989197,2580.0768127441406,8899.02436714783,7488.0,3.0
det_head.cls_convs.0,128955.15480678254,58572.664752000805,70462.53378594748,176123.12562080438,79979.21258854866,96143.91303225572,233472000.0,144896.0
det_head.cls_convs.1,128210.8900724203,58090.60935972931,70509.50125975572,48556.095204936835,21894.54210627079,26661.553098666045,58368000.0,144896.0
det_head.cls_convs.2,104705.7557263217,34647.91624552275,70531.54034443849,31302.704821436935,10281.490660905838,21021.214160531097,14592000.0,144896.0
det_head.reg_convs.0,129036.44335086925,58561.30649427505,70592.71010026982,176321.51881004893,79885.9063885212,96435.61242152772,233472000.0,144896.0
det_head.reg_convs.1,128677.36137573753,58423.93280980343,70639.49732492452,48786.07769041716,22058.64568066597,26727.432009751188,58368000.0,144896.0
det_head.reg_convs.2,105044.60100537768,34704.19133646431,70660.75049342331,31465.26464584502,10352.186774969101,21113.07787087592,14592000.0,144896.0
det_head.stems.0,124150.48029937955,54643.24603773444,70674.50429913405,23944.328530182574,10446.004790902138,13498.323739280439,34406400.0,20992.0
det_head.stems.1,123687.51222140071,55564.219911202534,70684.85126051688,14934.405774312168,6504.609536528587,8429.796237783581,18841600.0,46592.0
det_head.stems.2,112507.66624768462,43491.96137983296,70692.43516484731,13128.752036952796,5008.2226893901825,8120.529347562613,9318400.0,92672.0
