# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,101276.3244174627,56032.23213148914,45248.13065295073,2332496.1039976943,1290421.289091587,1042074.8149061074,2499402448.0,2111974.0
image_radar_encoder.radar_encoder,99868.51047812593,53814.729276100756,46089.70566961094,678319.8339870032,365345.2735646963,312974.5604223069,186812800.0,51099.0
image_radar_encoder.channel_attn_stage3.0,67557.33035165205,21881.290891564055,46245.05919640074,8480.423662373452,2727.5759797096252,5752.847682663827,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,67321.13898294412,21431.305008146614,46253.1557554762,9626.273274260955,3035.6873228549957,6590.585951405958,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,66948.89307305893,21251.55231945323,46261.24233760408,8681.400241886993,2739.9747262001038,5941.4255156868885,48480.0,3.0
image_radar_encoder.channel_attn_stage4.1,66290.37166552151,21077.25351634644,46269.40478391357,8354.336364219907,2598.46011030674,5755.876253913168,12120.0,3.0
image_radar_encoder.channel_attn_stage5.0,65615.77073765968,20956.899703718507,46277.65586461951,8238.312397940088,2450.3505462408066,5787.9618516992805,23744.0,5.0
image_radar_encoder.channel_attn_stage5.1,66553.27380429552,20617.724115560293,46286.810274382326,9638.10063397101,2977.7966253757477,6660.304008595262,5824.0,3.0
det_head.cls_convs.0,104141.03806170923,58477.86878327715,46344.94078904678,142120.36418737395,78950.1364762783,63170.22771109566,233472000.0,144896.0
det_head.cls_convs.1,104544.55429455463,58480.70695172217,46391.9369271697,39622.97890249567,22095.906605124474,17527.0722973712,58368000.0,144896.0
det_head.cls_convs.2,80116.58626267791,34197.48729058872,46413.38458688142,24368.728770451315,10337.10057413578,14031.628196315532,14592000.0,144896.0
det_head.reg_convs.0,105040.68625263068,58685.41668728284,46474.10717344037,143454.34137656784,80027.1569031477,63427.18447342015,233472000.0,144896.0
det_head.reg_convs.1,104272.55177842715,58259.016151063945,46521.1000176037,39509.07408304924,21974.474868655205,17534.59921439404,58368000.0,144896.0
det_head.reg_convs.2,80446.58996998858,34454.464392483926,46542.740184179725,23910.43070169131,10180.47414958477,13729.956552106541,14592000.0,144896.0
det_head.stems.0,96677.63178900366,50837.76599370638,46556.63563496507,18027.872913718616,9405.929211974144,8621.943701744474,26214400.0,15872.0
det_head.stems.1,98874.09319793459,53515.171153896095,46566.484717124884,11041.083104876667,5895.326581478119,5145.756523398549,15769600.0,38912.0
det_head.stems.2,83690.036594395,38055.23197296231,46573.850268450224,9698.281833340094,4347.662978768349,5350.618854571746,7270400.0,72192.0
