# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,131743.5010964429,57198.34599439812,74548.43415929598,3335915.901570783,1448285.1771776676,1887630.7243931154,2186804864.0,6187814.0
image_radar_encoder.radar_encoder,130332.28383478487,54882.6084127618,75483.4667222723,904671.6797612094,380827.71829247475,523843.96146873466,194249600.0,68019.0
image_radar_encoder.channel_attn_stage3.0,97494.69665196312,22418.84851129393,75641.9656726992,12199.900516935073,2768.388144016266,9431.512372918807,102656.0,3.0
image_radar_encoder.channel_attn_stage3.1,96458.84419329304,21665.072352825442,75650.16095563711,12216.429788994368,2704.120562672615,9512.309226321753,25664.0,3.0
image_radar_encoder.channel_attn_stage4.0,96822.39835094493,21777.341924139662,75658.32110158174,12078.745996365196,2687.0793738365173,9391.666622528679,58464.0,5.0
image_radar_encoder.channel_attn_stage4.1,95958.11567331219,21185.893555238596,75666.33031863027,12595.477293339649,2765.791192293167,9829.686101046482,14544.0,3.0
image_radar_encoder.channel_attn_stage5.0,95863.83073536267,21197.553575925107,75674.38069647869,12541.5040302901,2709.52720785141,9831.97682243869,30528.0,5.0
image_radar_encoder.channel_attn_stage5.1,95748.53538262354,21004.676655871397,75682.43483929052,12431.591906988784,2679.7851395606995,9751.806767428085,7488.0,3.0
det_head.cls_convs.0,134239.60524965014,58629.239255175584,75739.88320411828,183595.616880188,80100.08964562416,103495.52723456384,233472000.0,144896.0
det_head.cls_convs.1,133606.0294984449,58295.402249060855,75787.43210723548,50398.154351485515,21906.71106994152,28491.443281543998,58368000.0,144896.0
det_head.cls_convs.2,109637.38284400641,34201.925225877174,75808.92258283503,33007.06028388317,10242.734165668488,22764.32611821468,14592000.0,144896.0
det_head.reg_convs.0,134178.76963673157,58445.6940760511,75870.89917288118,183449.87193466592,79796.39033055305,103653.48160411287,233472000.0,144896.0
det_head.reg_convs.1,133996.95335115495,58464.88815424549,75918.60214326456,50795.79636504239,22114.18381178379,28681.612553258597,58368000.0,144896.0
det_head.reg_convs.2,109840.58849578946,34403.4574945569,75940.28197415457,33457.86230631092,10416.708675026894,23041.153631284025,14592000.0,144896.0
det_head.stems.0,128553.45354471497,53075.24939522862,75954.62654247056,24907.709756983557,10231.746292948723,14675.963464034834,34406400.0,20992.0
det_head.stems.1,130338.24261634031,55660.56674242394,75965.15176901019,15537.373928298253,6574.769618034363,8962.60431026389,18841600.0,46592.0
det_head.stems.2,116274.4472115507,42131.547287090805,75972.72865302092,13484.94547113196,4774.56261074543,8710.38286038653,9318400.0,92672.0
