# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,51200.46113952258,50146.36147581879,1057.311668849392,1262383.806246537,1236316.133442998,26067.672803539164,3850400048.0,573900.0
image_radar_encoder.radar_encoder,54608.95410456891,52704.4162761546,1908.8068941191302,381008.44337475614,367692.58814287186,13315.85523188428,184412800.0,40887.0
image_radar_encoder.channel_attn_stage3.0,21709.891755296907,19826.046096421538,2078.251437438354,3737.4436140490093,3382.5065727233887,354.9370413256207,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,21015.84691268639,19227.59631385966,2087.9582849674293,3232.858790121212,2915.5798354148865,317.2789547063258,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,21451.86364440112,19439.013343625476,2097.847291426711,3690.077090453855,3332.2700021266937,357.80708832716135,38784.0,3.0
image_radar_encoder.channel_attn_stage4.1,20452.48718014416,18471.467515401764,2108.018421507282,3571.0994539124185,3203.9287610054016,367.17069290701716,9696.0,3.0
image_radar_encoder.channel_attn_stage5.0,20699.33540967239,18767.409971758618,2117.855924705313,3243.2727913546896,2912.0846326351166,331.1881587195729,18656.0,5.0
image_radar_encoder.channel_attn_stage5.1,20110.936583893268,18227.418008742465,2127.9197085705523,3444.7815555236607,3082.926472902298,361.8550826213627,4576.0,3.0
det_head.cls_convs.0,60090.71700522919,57985.741262305695,2178.4625572987566,73704.40402676171,71034.55977344513,2669.8442533165758,233472000.0,144896.0
det_head.cls_convs.1,54353.49669867405,52500.07990222783,2221.930476288405,22756.188108389993,21827.760776877403,928.4273315125894,58368000.0,144896.0
det_head.cls_convs.2,36401.07860197126,34387.32557053708,2244.379646708416,12972.90227249814,12177.43705046177,795.4652220363705,14592000.0,144896.0
det_head.reg_convs.0,60225.600194877195,58018.45654303258,2303.8194382548268,73932.36396565453,71105.27651751041,2827.0874481441083,233472000.0,144896.0
det_head.reg_convs.1,54668.77265395046,52704.80706340831,2348.633480580003,23051.514442835636,22064.76230633259,986.7521365030468,58368000.0,144896.0
det_head.reg_convs.2,36936.15798235638,34742.673436259734,2371.2858179870577,12878.46877401247,12052.903885126114,825.5648888863566,14592000.0,144896.0
det_head.stems.0,55061.90251600773,53178.34818422479,2386.0470031047657,10902.398583221828,10431.202677488327,471.1959057335011,26214400.0,15872.0
det_head.stems.1,48715.114324101894,46856.73750468076,2396.3352697838764,6994.850982748841,6652.895185709,341.95579703984134,12697600.0,31232.0
det_head.stems.2,34602.80137851602,32624.04736897514,2404.983185946954,5078.224176726347,4728.50281059742,349.72136612892683,5734400.0,56832.0
