# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,80428.32396312883,52608.173411642405,27826.556452710967,2144828.4670149367,1402815.0161403418,742013.4508745952,1792804048.0,2595354.0
image_radar_encoder.radar_encoder,82297.0376580029,53605.08763007368,28711.170985947483,558518.6547537983,363676.60485982895,194842.04989396932,186812800.0,51099.0
image_radar_encoder.channel_attn_stage3.0,50128.81389181539,21665.401302564926,28866.342501390507,6565.024219026638,2826.670223236084,3738.353995790554,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,49780.345630239724,21312.353030825805,28874.340742344666,6482.108595066182,2753.9468784332275,3728.1617166329543,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,49457.348664659694,21114.449641684547,28882.48592777664,6534.582661685416,2761.387608528137,3773.195053157279,48480.0,3.0
image_radar_encoder.channel_attn_stage4.1,49443.6556205039,20899.32948260068,28890.635434103093,6128.317363060298,2578.2641533613205,3550.0532096989778,12120.0,3.0
image_radar_encoder.channel_attn_stage5.0,49328.0329408443,20849.876477182494,28898.618601072758,6395.867380694908,2660.6023639440536,3735.2650167508546,23744.0,5.0
image_radar_encoder.channel_attn_stage5.1,48234.889862103424,20559.078447900803,28907.056893256038,6196.124094465456,2523.691503047943,3672.432591417513,5824.0,3.0
det_head.cls_convs.0,87403.80983171037,58519.345485411315,28965.69497670467,119242.01808201607,79749.30609619617,39492.7119858199,233472000.0,144896.0
det_head.cls_convs.1,87143.0946223394,58504.271957765326,29013.38463060195,32896.31544097301,21974.30801177025,10922.007429202762,58368000.0,144896.0
det_head.cls_convs.2,62997.35987852559,34210.7826594087,29034.828471665358,18615.81248586698,10055.748470783234,8560.064015083746,14592000.0,144896.0
det_head.reg_convs.0,87465.98595874662,58516.45337107672,29095.64856320767,119464.87226127938,79782.7824459076,39682.089815371786,233472000.0,144896.0
det_head.reg_convs.1,87207.94591003866,58337.739508205974,29142.67889498578,32868.380032911635,21925.152304530144,10943.227728381487,58368000.0,144896.0
det_head.reg_convs.2,63014.84890956489,34140.61231318206,29164.232863477522,18679.859226445253,10064.246993780136,8615.612232665117,14592000.0,144896.0
det_head.stems.0,79424.68450955472,50869.92053493969,29177.981976187206,14805.987023922007,9394.510623693466,5411.476400228541,26214400.0,15872.0
det_head.stems.1,80155.19917958396,52587.5339298859,29187.866872277584,8931.535328428245,5722.9746311903,3208.560697237944,15769600.0,38912.0
det_head.stems.2,68277.87803757118,39758.03404355508,29195.130346700033,7874.307300705399,4549.415085554123,3324.892215151276,7270400.0,72192.0
