# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,77913.62124633502,52526.35216813404,25390.947590772073,1673625.4531780751,1128239.7091612816,545385.7440167934,2284083248.0,1427974.0
image_radar_encoder.fpn.backbone.network.0.0.token_mixer,72151.47683307117,46803.70253324616,25847.563130686787,9237.936481814157,5956.840345859528,3281.0961359546286,204800.0,0.0
image_radar_encoder.fpn.backbone.network.0.1.token_mixer,76415.76103583947,50866.41815038265,25855.9196445665,9785.154306282024,6498.799346327782,3286.354959954241,204800.0,0.0
image_radar_encoder.fpn.backbone.network.2.0.token_mixer,71478.45056138984,51233.0,25861.08584943318,2146.4987374448433,1398.1662063598633,748.3325310849799,76800.0,0.0
image_radar_encoder.fpn.backbone.network.2.1.token_mixer,74172.44683011166,50387.08517795869,25863.55149567684,2130.649825067323,1428.419584274292,702.2302407930313,76800.0,0.0
image_radar_encoder.fpn.backbone.network.4.0.token_mixer,71035.00250337194,50074.0,25866.215191846833,1556.9493329852785,1008.6302495002747,548.3190834850038,38400.0,0.0
image_radar_encoder.fpn.backbone.network.4.1.token_mixer,61308.12158031063,39051.0,25868.34776620874,1350.0110628690504,802.8802714347839,547.1307914342665,38400.0,0.0
image_radar_encoder.fpn.backbone.network.4.2.token_mixer,60952.353928372075,39051.0,25870.484196753867,1332.9781571468966,782.4344487190247,550.5437084278718,38400.0,0.0
image_radar_encoder.fpn.backbone.network.4.3.token_mixer,57352.68623912015,36339.0,25872.636052207916,1257.428722662213,708.1346096992493,549.2941129629637,38400.0,0.0
image_radar_encoder.fpn.backbone.network.4.4.token_mixer,57438.88127869903,36339.0,25874.78838887819,1386.7457949936152,784.4201853275299,602.3256096660853,38400.0,0.0
image_radar_encoder.fpn.backbone.network.4.5.token_mixer,56520.42717102623,35701.0,25876.997504492338,1251.6601937660218,711.1082897186279,540.5519040473939,38400.0,0.0
image_radar_encoder.fpn.backbone.network.6.0.token_mixer,58792.14758150196,35701.0,25879.507841787246,1290.4599863996064,742.5933701992035,547.866616200403,17600.0,0.0
image_radar_encoder.fpn.backbone.network.6.1.token_mixer,52403.46876992582,31002.0,25881.691902924103,1138.262277194045,619.5737471580505,518.6885300359944,17600.0,0.0
image_radar_encoder.radar_encoder,79520.44011705779,53352.28925006204,26187.066186922788,539245.7284049074,361727.4765344858,177518.25187042158,184412800.0,40887.0
image_radar_encoder.channel_attn_stage3.0,47225.465966703094,21617.30862381125,26339.630938735052,6020.844273591728,2704.3385524749756,3316.5057211167523,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,46590.017202819196,21058.22579288534,26347.577518321334,6096.174028189375,2686.09983086586,3410.0741973235154,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,44043.991506852646,20889.289189301864,26355.777295799726,5584.875285850778,2269.779997587204,3315.095288263574,38784.0,3.0
image_radar_encoder.channel_attn_stage4.1,46232.557844390496,20265.497124898062,26364.386202240687,5898.500693169541,2553.552634000778,3344.948059168762,9696.0,3.0
image_radar_encoder.channel_attn_stage5.0,46332.06649404088,20530.51651041743,26372.606178644874,6141.558488168089,2676.390098452568,3465.168389715521,18656.0,5.0
image_radar_encoder.channel_attn_stage5.1,46235.744225346636,20336.836056248594,26380.856042688185,5909.633049066408,2565.68363571167,3343.9494133547378,4576.0,3.0
det_head.cls_convs.0,84748.02172533095,58347.293044092796,26439.35621766893,115591.98460641924,79543.99317252636,36047.99143389288,233472000.0,144896.0
det_head.cls_convs.1,84794.80258983755,58640.812072810586,26486.830948517843,32023.507122789408,22042.31406712532,9981.193055664087,58368000.0,144896.0
det_head.cls_convs.2,60174.656552962486,34086.38020466622,26508.00828808739,18052.006734122464,10134.201200842857,7917.805533279605,14592000.0,144896.0
det_head.reg_convs.0,85048.4787040107,58521.81679601647,26568.980199334655,116042.99576348517,79831.2136451006,36211.78211838458,233472000.0,144896.0
det_head.reg_convs.1,84533.21646165078,58241.67010074498,26616.100416080688,31793.693772912273,21828.476128578186,9965.217644334089,58368000.0,144896.0
det_head.reg_convs.2,60452.851941274006,34053.989374842786,26637.24385262149,18015.57552160923,10102.690118074417,7912.885403534813,14592000.0,144896.0
det_head.stems.0,77320.0822164532,51528.680491541505,26650.751380083766,14405.582343968457,9478.575209856033,4927.007134112423,26214400.0,15872.0
det_head.stems.1,76002.775312114,49841.459045570686,26660.519854619066,8767.953608101034,5701.834661483765,3066.118946617269,12697600.0,31232.0
det_head.stems.2,60953.085899201746,35067.715809334244,26668.04226466124,7118.5980706917,4032.4950246810913,3086.103046010608,5734400.0,56832.0
