# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,92352.80818342332,51687.89800855881,40671.5728054546,2614595.21016307,1463161.1684360504,1151434.0417270192,2742711248.0,3139510.0
image_radar_encoder.radar_encoder,95035.37161488175,53517.996307024914,41543.94342802919,645004.6536834005,363088.55246424675,281916.10121915373,186812800.0,51099.0
image_radar_encoder.channel_attn_stage3.0,62658.345859206594,21605.204595232546,41700.757943099445,8158.738376509449,2784.582307457924,5374.156069051525,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,62367.71917116379,21188.8957881286,41708.691495469815,7851.220415413658,2644.8534146547318,5206.367000758926,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,62159.16882143247,21064.000204031898,41716.81936149554,7951.751104273554,2658.316174507141,5293.434929766413,48480.0,3.0
image_radar_encoder.channel_attn_stage4.1,61367.90814124395,20544.816103560166,41725.327916578986,7819.334755945344,2590.4576983451843,5228.87705760016,12120.0,3.0
image_radar_encoder.channel_attn_stage5.0,61879.72416583603,20673.48419054481,41733.45101853378,8113.977178878347,2667.987408041954,5445.989770836393,23744.0,5.0
image_radar_encoder.channel_attn_stage5.1,60763.28109971164,20276.659408701515,41741.51497593003,7879.458611900249,2524.193445920944,5355.265165979305,5824.0,3.0
det_head.cls_convs.0,100079.13063999412,58423.50023023728,41800.831607453816,136515.76871855406,79556.88551461697,56958.88320393708,233472000.0,144896.0
det_head.cls_convs.1,99990.23329147258,58565.80194957169,41848.19625402382,37780.69539033399,22015.096165418625,15765.599224915364,58368000.0,144896.0
det_head.cls_convs.2,75703.17020844536,34174.43893592957,41870.10528617717,22430.30289439769,10071.081769227982,12359.221125169706,14592000.0,144896.0
det_head.reg_convs.0,100415.4320578545,58593.228270866515,41932.09243822932,137083.22582723357,79879.5104792118,57203.71534802175,233472000.0,144896.0
det_head.reg_convs.1,99914.8450043854,58231.40937683171,41979.08347425118,37662.450768521645,21885.814861297607,15776.635907224036,58368000.0,144896.0
det_head.reg_convs.2,75939.52064574954,34456.36207758717,42000.20555583344,22152.038385314416,9939.085603952408,12212.95278136201,14592000.0,144896.0
det_head.stems.0,91093.05836864148,50242.86674158909,42013.35781424782,16975.418374309345,9219.92799949646,7755.490374812887,26214400.0,15872.0
det_head.stems.1,93403.65412068239,52474.25738626417,42022.962251438184,10378.455969888579,5788.977373838425,4589.478596050154,15769600.0,38912.0
det_head.stems.2,80659.351511058,39652.48169233041,42030.37725987071,8995.019687136843,4354.196261882782,4640.82342525406,7270400.0,72192.0
