# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,72529.0155730772,55589.44536410917,16945.390215660165,1661290.674054158,1273175.1728520393,388115.5012021186,2365116848.0,1775702.0
image_radar_encoder.radar_encoder,72174.54332666671,54398.26750661666,17786.5134657543,486960.2828983248,366971.8048439026,119988.4780544222,184412800.0,40887.0
image_radar_encoder.channel_attn_stage3.0,39600.72361652205,22013.498900961637,17941.477685662947,5119.632334099055,2815.1408466100693,2304.491487488985,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,37331.9344403779,21237.672261901454,17949.496409845335,4869.239182113222,2550.776542186737,2318.4626399264857,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,38439.874396224106,20829.20129327596,17959.25773204625,5002.384500996545,2692.547755241394,2309.8367457551512,38784.0,3.0
image_radar_encoder.channel_attn_stage4.1,38171.434807052254,20675.63445512239,17967.884784965594,4834.133719906903,2579.5889344215393,2254.5447854853637,9696.0,3.0
image_radar_encoder.channel_attn_stage5.0,38252.182885741706,20743.946352258852,17976.061142909595,4909.513377050936,2624.7647420167923,2284.7486350341433,18656.0,5.0
image_radar_encoder.channel_attn_stage5.1,35716.207208776934,20659.036730019,17984.273965349086,4498.93666229389,2244.8352007865906,2254.101461507299,4576.0,3.0
det_head.cls_convs.0,76671.96659994149,58670.08954725449,18048.40145640183,104693.22850212699,80066.44637620449,24626.782125922502,233472000.0,144896.0
det_head.cls_convs.1,76758.09376205018,58760.70416707695,18098.553774815126,29005.465676346168,22195.142115354538,6810.323560991631,58368000.0,144896.0
det_head.cls_convs.2,52505.26151328102,34654.17943437234,18119.85081032506,15795.865447531192,10370.482375383377,5425.383072147814,14592000.0,144896.0
det_head.reg_convs.0,76665.87709047199,58566.2402953962,18182.056153464488,104763.986554523,79939.62322771549,24824.36332680751,233472000.0,144896.0
det_head.reg_convs.1,76379.39596159616,58465.913510198116,18229.555089742164,28778.81406799794,21931.213308095932,6847.600759902009,58368000.0,144896.0
det_head.reg_convs.2,53034.50266622134,35027.97500879658,18250.967012906043,15697.618704205945,10300.802070379257,5396.816633826687,14592000.0,144896.0
det_head.stems.0,70061.30891402757,52638.47095647791,18264.884550713807,13034.30085276139,9660.894029855728,3373.4068229056616,26214400.0,15872.0
det_head.stems.1,68646.50254488667,50860.13653530955,18274.854707012426,7719.422209456828,5689.265251040459,2030.1569584163692,12697600.0,31232.0
det_head.stems.2,54396.32605286019,36754.37268520467,18282.269024105226,6265.875476086811,4164.177159667015,2101.6983164197964,5734400.0,56832.0
