# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,55621.199927771166,51907.48493229978,3715.854304868884,1633023.9561544124,1523931.1438834667,109092.81227094558,4112022448.0,1311164.0
image_radar_encoder.radar_encoder,58518.21219912811,53849.757785540154,4682.866463827254,408967.2290381077,376246.29269754887,32720.936340558826,184412800.0,40887.0
image_radar_encoder.channel_attn_stage3.0,25372.014169852922,20671.539989564444,4853.700865980235,4470.685820664723,3617.6466529369354,853.0391677277876,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,24669.27395958372,19997.818205854113,4863.710282833017,3835.170614089994,3083.650804758072,751.5198093319223,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,24612.45393401302,19868.595586226213,4873.8475224961685,4297.718941971238,3450.0400352478027,847.6789067234349,38784.0,3.0
image_radar_encoder.channel_attn_stage4.1,24239.754238223613,19530.67275668616,4884.137006793558,4318.044885258508,3451.183881521225,866.861003737283,9696.0,3.0
image_radar_encoder.channel_attn_stage5.0,24137.937206662762,19589.23476891397,4894.115116584992,3831.749284491587,3061.938837647438,769.8104468441486,18656.0,5.0
image_radar_encoder.channel_attn_stage5.1,24076.051691326622,19417.532447581627,4904.396649484405,4172.110640192071,3328.4951189756393,843.6155212164315,4576.0,3.0
det_head.cls_convs.0,62585.97713988339,57709.925483066676,4955.521094249668,77525.02061485597,71391.56632089615,6133.454293959816,233472000.0,144896.0
det_head.cls_convs.1,57871.89607859916,53075.83723786545,4999.854655847454,24393.140297989885,22290.489028573036,2102.6512694168505,58368000.0,144896.0
det_head.cls_convs.2,40384.767796458356,35527.28807921615,5023.540025504132,14238.62356465006,12475.416953325272,1763.2066113247897,14592000.0,144896.0
det_head.reg_convs.0,63012.93028046145,58066.0190152391,5079.165475158799,77999.53105200388,71714.24081993103,6285.290232072852,233472000.0,144896.0
det_head.reg_convs.1,57379.627746705504,52485.10184234048,5124.263016891504,24710.440685759007,22511.848920822144,2198.591764936864,58368000.0,144896.0
det_head.reg_convs.2,40029.06418008118,35082.85517051448,5148.748184770308,14370.232325584973,12528.372319102287,1841.860006482687,14592000.0,144896.0
det_head.stems.0,59330.47233821757,54306.08252869299,5165.220301016076,11842.191423859105,10818.608612656593,1023.5828112025117,26214400.0,15872.0
det_head.stems.1,51575.563750268426,46539.88353655278,5176.754586994151,7613.017154306158,6851.508061051369,761.509093254789,12697600.0,31232.0
det_head.stems.2,36118.36584446403,31186.348101124007,5186.3178476833555,5417.827211501103,4645.767321944237,772.0598895568667,5734400.0,56832.0
