# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,48780.50892027924,47756.86794467197,1027.4378113809564,1049403.5169314893,1027302.4458018541,22101.071129635246,1152936848.0,1433718.0
image_radar_encoder.radar_encoder,54161.953180128265,52542.34326059482,1779.0381119207266,363225.7007857867,351297.8747383356,11927.826047451104,184412800.0,40887.0
image_radar_encoder.channel_attn_stage3.0,21759.92211821664,20024.5782299475,1928.3832540701455,2726.900640434511,2487.1120228767395,239.7886175577713,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,21196.80408399213,19596.22688204957,1936.2014789099937,2769.2067103013774,2518.451246857643,250.7554634437343,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,21350.330140958522,19803.529853625958,1944.0235967199117,2798.2939810893504,2545.0460188388824,253.24796225046776,38784.0,3.0
image_radar_encoder.channel_attn_stage4.1,20691.740520431256,18961.617911086858,1951.908445783081,2632.3570786230357,2386.0612123012543,246.2958663217813,9696.0,3.0
image_radar_encoder.channel_attn_stage5.0,20661.372214752275,19286.385401544456,1960.0291752913415,2582.114882628387,2340.7165120840073,241.39837054437976,18656.0,5.0
image_radar_encoder.channel_attn_stage5.1,20488.29918745262,18715.29758757497,1968.247742136296,2654.117094375627,2400.0696413517,254.0474530239269,4576.0,3.0
det_head.cls_convs.0,60421.30922519839,58421.16631103726,2023.8859440093674,81665.46623415037,78933.17021942139,2732.296014728989,233472000.0,144896.0
det_head.cls_convs.1,60138.84412704383,58389.937233380115,2069.5039989045063,22340.34842411488,21574.102754354477,766.2456697604028,58368000.0,144896.0
det_head.cls_convs.2,35734.14930762378,33685.811313099824,2090.1455901914114,10616.703355289384,9996.861138105392,619.8422171839917,14592000.0,144896.0
det_head.reg_convs.0,60582.39410415406,58465.4839678352,2150.1063390742916,81843.91547249426,78940.92917346954,2902.986299024723,233472000.0,144896.0
det_head.reg_convs.1,60095.72594785352,58475.889264241116,2195.2271213660592,22289.685950888816,21479.018652319908,810.6672985689087,58368000.0,144896.0
det_head.reg_convs.2,35819.956777533,33834.409475270426,2215.4741724496253,10747.642113011745,10085.40807723999,662.2340357717546,14592000.0,144896.0
det_head.stems.0,53104.3888694128,50994.83891198891,2228.4732956880657,9886.132921341594,9473.847955942154,412.2849653994392,26214400.0,15872.0
det_head.stems.1,51478.7632215094,49899.398643960965,2237.989958537415,5680.516487189472,5435.939628839493,244.57685834997974,12697600.0,31232.0
det_head.stems.2,37834.71621633193,36042.665551128484,2245.052100043157,4338.0483092298955,4082.709002971649,255.3393062582463,5734400.0,56832.0
