# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,-8105.042723360025,53372.17326320563,-61478.34322617577,-319484.6628203406,2103793.6958959103,-2423278.358716251,4353945664.0,8192134.0
image_radar_encoder.fpn.backbone.network.0.0.token_mixer,-127781.72274023676,42394.11215684697,-172132.27758706085,-16729.509741454953,5527.583330631256,-22257.09307208621,204800.0,0.0
image_radar_encoder.fpn.backbone.network.0.1.token_mixer,-119860.13415748122,51340.99345308563,-172123.70940795273,-15780.06899389235,6689.721517324448,-22469.790511216797,204800.0,0.0
image_radar_encoder.fpn.backbone.network.0.2.token_mixer,-120475.41454524755,51385.207688486444,-172115.0593222708,-15886.263710069237,6708.0890963077545,-22594.35280637699,204800.0,0.0
image_radar_encoder.fpn.backbone.network.0.3.token_mixer,-119133.93202912936,51467.132742395195,-172106.42301392104,-15709.740892456786,6733.3370885849,-22443.077981041686,204800.0,0.0
image_radar_encoder.fpn.backbone.network.0.4.token_mixer,-119085.8302835085,51346.073372483035,-172097.81060449244,-15631.764188816447,6635.3562787771225,-22267.12046759357,204800.0,0.0
image_radar_encoder.fpn.backbone.network.0.5.token_mixer,-120469.16303376274,51383.82109509047,-172089.1444046207,-15838.536198735514,6654.518845796585,-22493.0550445321,204800.0,0.0
image_radar_encoder.fpn.backbone.network.2.0.token_mixer,-121372.41016809829,52012.1928292628,-172083.20837882144,-6161.446020656107,2532.105843067169,-8693.551863723276,102400.0,0.0
image_radar_encoder.fpn.backbone.network.2.1.token_mixer,-117494.42508831785,52450.0,-172079.70231578065,-5993.125985203957,2561.0851764678955,-8554.211161671852,102400.0,0.0
image_radar_encoder.fpn.backbone.network.2.2.token_mixer,-118292.21675728179,53031.0,-172076.11798878794,-6032.3247790332425,2660.827855825424,-8693.152634858667,102400.0,0.0
image_radar_encoder.fpn.backbone.network.2.3.token_mixer,-119370.79209728702,51800.0,-172072.54999461948,-6146.723316670337,2593.838405609131,-8740.561722279468,102400.0,0.0
image_radar_encoder.fpn.backbone.network.2.4.token_mixer,-117175.9669459879,52656.69190719593,-172069.06454583956,-5972.02112725018,2642.7876710891724,-8614.808798339353,102400.0,0.0
image_radar_encoder.fpn.backbone.network.2.5.token_mixer,-117723.95438608622,52938.8596208225,-172065.63701514664,-6043.623150403411,2660.2814960479736,-8703.904646451385,102400.0,0.0
image_radar_encoder.fpn.backbone.network.4.0.token_mixer,-111800.31120846963,53018.0,-172062.37661514882,-2568.448635918073,1201.3887820243835,-3769.8374179424563,57600.0,0.0
image_radar_encoder.fpn.backbone.network.4.1.token_mixer,-115256.65209698441,43765.0,-172060.1512071647,-2510.1541040189827,939.1680610179901,-3449.322165036973,57600.0,0.0
image_radar_encoder.fpn.backbone.network.4.2.token_mixer,-120210.59936839931,43765.0,-172057.88454396348,-2951.624104155057,1015.8399522304535,-3967.4640563855105,57600.0,0.0
image_radar_encoder.fpn.backbone.network.4.3.token_mixer,-128219.18618164469,42756.0,-172055.64770928523,-2794.388725486789,858.5137281417847,-3652.9024536285738,57600.0,0.0
image_radar_encoder.fpn.backbone.network.4.4.token_mixer,-127437.5493809737,42756.0,-172053.47384127686,-2786.286599262431,845.6491212844849,-3631.935720546916,57600.0,0.0
image_radar_encoder.fpn.backbone.network.4.5.token_mixer,-127639.86264373628,43556.0,-172051.25053392432,-2983.5861714642506,939.7922620773315,-3923.378433541582,57600.0,0.0
image_radar_encoder.fpn.backbone.network.4.6.token_mixer,-128761.41596731376,43556.0,-172049.00309108672,-2794.448235334556,845.0227708816528,-3639.471006216209,57600.0,0.0
image_radar_encoder.fpn.backbone.network.4.7.token_mixer,-128477.59459356309,42677.0,-172046.83637142376,-2795.67077240117,852.45046210289,-3648.12123450406,57600.0,0.0
image_radar_encoder.fpn.backbone.network.4.8.token_mixer,-124060.67387518099,42677.0,-172044.6607515094,-2719.316986415062,837.6967270374298,-3557.0137134524916,57600.0,0.0
image_radar_encoder.fpn.backbone.network.4.9.token_mixer,-125094.16710613524,43465.0,-172042.40929908183,-2746.831821515071,887.4134564399719,-3634.245277955043,57600.0,0.0
image_radar_encoder.fpn.backbone.network.4.10.token_mixer,-127744.1074837034,43465.0,-172040.2148758005,-2785.0400020199513,848.6667096614838,-3633.706711681435,57600.0,0.0
image_radar_encoder.fpn.backbone.network.4.11.token_mixer,-126397.3061174008,43512.0,-172038.04539597445,-2768.4850021346515,871.328447341919,-3639.8134494765704,57600.0,0.0
image_radar_encoder.fpn.backbone.network.4.12.token_mixer,-126289.86332132606,43512.0,-172035.85328964554,-2776.640016055757,857.3027057647705,-3633.9427218205274,57600.0,0.0
image_radar_encoder.fpn.backbone.network.4.13.token_mixer,-118969.24084526578,43436.0,-172033.65404416615,-2577.706973442093,871.4531421661377,-3449.1601156082306,57600.0,0.0
image_radar_encoder.fpn.backbone.network.4.14.token_mixer,-119335.16144746989,43436.0,-172031.43933816682,-2588.395193262952,864.4939441680908,-3452.889137431043,57600.0,0.0
image_radar_encoder.fpn.backbone.network.4.15.token_mixer,-127639.11002358595,43256.0,-172029.25344691382,-2781.0467118562337,865.7173309326172,-3646.764042788851,57600.0,0.0
image_radar_encoder.fpn.backbone.network.4.16.token_mixer,-125915.07228260148,43256.0,-172027.06207653446,-2763.7465916826386,888.3028755187988,-3652.0494672014374,57600.0,0.0
image_radar_encoder.fpn.backbone.network.4.17.token_mixer,-128203.11030512505,43350.0,-172024.85073043033,-2809.6270321004617,879.2880177497864,-3688.915049850248,57600.0,0.0
image_radar_encoder.fpn.backbone.network.6.0.token_mixer,-128243.54917766288,43350.0,-172022.2064366424,-3170.4497578931378,997.5668549537659,-4168.016612846904,28800.0,0.0
image_radar_encoder.fpn.backbone.network.6.1.token_mixer,-132056.08322897734,36286.0,-172019.95453664724,-3238.85472723201,855.038290977478,-4093.893018209488,28800.0,0.0
image_radar_encoder.fpn.backbone.network.6.2.token_mixer,-131309.7686246878,36286.0,-172017.75519232472,-2888.636837299184,748.5326714515686,-3637.169508750753,28800.0,0.0
image_radar_encoder.fpn.backbone.network.6.3.token_mixer,-134278.85177265847,32774.0,-172015.55717643342,-2951.5835617018333,671.185375213623,-3622.7689369154564,28800.0,0.0
image_radar_encoder.fpn.backbone.network.6.4.token_mixer,-133806.26397751042,32774.0,-172013.36585103782,-2956.189501637459,663.6214904785156,-3619.810992115975,28800.0,0.0
image_radar_encoder.fpn.backbone.network.6.5.token_mixer,-130835.23789851196,32699.0,-172011.13891249182,-3207.102612032821,757.8071584701538,-3964.909770502975,28800.0,0.0
image_radar_encoder.radar_encoder,-117642.43310181984,54028.45486765929,-171687.2418732082,-841253.4688054649,386248.7630852461,-1227502.231890711,194249600.0,68019.0
image_radar_encoder.channel_attn_stage3.0,-147418.009034011,22772.7200180276,-171524.9563994924,-19460.473139762013,2939.4551362991333,-22399.928276061146,102656.0,3.0
