# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,72089.03625669566,48821.43775603977,23275.337882938795,1220848.7075313688,826727.747623086,394120.9599082829,967212848.0,1388966.0
image_radar_encoder.fpn.backbone.network.0.0.token_mixer,68797.90068514792,46191.48779691516,23636.194391062632,8809.183632913468,5801.974840641022,3007.2087922724463,204800.0,0.0
image_radar_encoder.fpn.backbone.network.0.1.token_mixer,73193.80747251716,50490.4260910353,23644.58865775077,9373.572950605812,6364.630961894989,3008.941988710824,204800.0,0.0
image_radar_encoder.fpn.backbone.network.2.0.token_mixer,70030.61575452327,50607.0,23649.830179748682,2142.9585075964446,1452.3421740531921,690.6163335432525,76800.0,0.0
image_radar_encoder.fpn.backbone.network.2.1.token_mixer,70090.55588764705,50607.0,23652.40494606023,2139.9799576797946,1454.2847435474396,685.6952141323551,76800.0,0.0
image_radar_encoder.fpn.backbone.network.4.0.token_mixer,71044.84787326412,49640.0,23655.118925730218,1567.921015795843,1067.6915550231934,500.2294607726496,38400.0,0.0
image_radar_encoder.fpn.backbone.network.4.1.token_mixer,68443.70322505369,49640.0,23657.307610089912,1512.0980434282183,1012.1494388580322,499.9486045701861,38400.0,0.0
image_radar_encoder.fpn.backbone.network.4.2.token_mixer,55396.99492874631,35659.0,23659.49491117419,1218.6191401709812,718.2463736534119,500.37276651756923,38400.0,0.0
image_radar_encoder.fpn.backbone.network.4.3.token_mixer,55675.54336517175,35659.0,23661.650821561576,1227.4279937483552,726.5696046352386,500.8583891131166,38400.0,0.0
image_radar_encoder.fpn.backbone.network.4.4.token_mixer,55073.047458491434,35538.0,23663.828040699107,1219.9227078613096,719.5542125701904,500.3684952911192,38400.0,0.0
image_radar_encoder.fpn.backbone.network.4.5.token_mixer,54006.79793964961,35538.0,23666.00526972414,1189.2351748724218,689.305890083313,499.9292847891088,38400.0,0.0
image_radar_encoder.fpn.backbone.network.6.0.token_mixer,54870.35256066735,35499.0,23668.503999241973,1202.795494826526,703.1068625450134,499.68863228151247,17600.0,0.0
image_radar_encoder.fpn.backbone.network.6.1.token_mixer,56274.6835188756,34111.22438408925,23670.73192977963,1235.0418311586423,734.8264617919922,500.21536936665,17600.0,0.0
image_radar_encoder.radar_encoder,77285.94119011535,53324.134098212984,23978.769353110965,521367.18583574344,359636.5579190254,161730.62791671802,184412800.0,40887.0
image_radar_encoder.channel_attn_stage3.0,44686.85541877369,21081.155252562225,24133.271628147042,5628.164662519925,2608.9682742357254,3019.196388284199,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,44438.131233987944,20689.19439884953,24141.58063021633,5815.8771258990055,2668.564656496048,3147.312469402957,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,44468.73024818345,20720.084297699716,24149.629641124797,5756.936705074935,2644.9636874198914,3111.9730176550433,38784.0,3.0
image_radar_encoder.channel_attn_stage4.1,44055.91735540808,20445.066113401343,24157.50964980016,5521.190738367248,2520.9464387893677,3000.24429957788,9696.0,3.0
image_radar_encoder.channel_attn_stage5.0,40734.480023295764,20484.858614273435,24165.474760823356,5129.559990478573,2107.711822748184,3021.848167730389,18656.0,5.0
image_radar_encoder.channel_attn_stage5.1,43485.5505853058,19956.626817453754,24173.849679601048,5468.912136398346,2456.6330580711365,3012.2790783272094,4576.0,3.0
det_head.cls_convs.0,82580.89574056231,58450.81818785544,24230.19592516822,112508.8272466607,79531.16516709328,32977.662079567424,233472000.0,144896.0
det_head.cls_convs.1,82556.55645331407,58685.50990821568,24277.135441877334,31041.49543901158,21933.24592256546,9108.249516446122,58368000.0,144896.0
det_head.cls_convs.2,57891.36684762127,33975.15923075213,24298.325603125402,17494.872249340533,10199.941731452942,7294.930517887591,14592000.0,144896.0
det_head.reg_convs.0,82905.15894318641,58626.39549032128,24358.693786518266,113052.61884628821,79878.65674674511,33173.96209954311,233472000.0,144896.0
det_head.reg_convs.1,82498.76892679847,58238.34303832773,24405.74489224974,31132.334224213155,21954.833270788193,9177.500953424962,58368000.0,144896.0
det_head.reg_convs.2,58124.29235519725,34153.890995145375,24427.721983929412,17244.93712759575,10042.315756559372,7202.621371036377,14592000.0,144896.0
det_head.stems.0,75125.07248570162,51268.42434049268,24441.599024400184,13978.412167995248,9450.051280021667,4528.36088797358,26214400.0,15872.0
det_head.stems.1,73487.31052881676,50225.62096745129,24451.606955102612,8440.8092993911,5648.392160177231,2792.4171392138687,12697600.0,31232.0
det_head.stems.2,58964.89446473337,35478.142290534284,24459.208801231205,6562.454859239213,3871.8278263807297,2690.6270328584837,5734400.0,56832.0
